task,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_task_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,instance_count,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy
abstract_narrative_understanding,0.635569155216217,0.663414634146341,0.0,0.0,0.0,0.550511508951406,0.22183508232464302,0.009286478577736,0.010747053599910001,0.22329565734681703,0.5,0.336585365853658,4.6042000000000005,44.525,5.647,205.0,0.663414634146341,0.0,0.0,0.0,0.5,0.22329565734681703,0.0,0.0,0.22329565734681703,0.5,0.45365853658536504,0.372781065088757,0.9130434782608691,0.529411764705882,0.700873827791986,0.3883044803042,0.20252210064966,0.037513277692277004,0.22329565734681703,0.566815856777493,0.663414634146341,0.0,0.0,0.0,0.576300085251491,0.32735686657720303,0.125523390106549,0.021462180876162,0.22329565734681703,0.5
analogical_similarity,0.540529251098632,0.769230769230769,0.0,0.0,0.0,0.46666666666666606,0.17762766824980902,0.00011287535040100001,2.775557561562891e-17,0.17751479289940802,0.5,0.23076923076923,1.5674000000000001,41.471,5.742,65.0,0.769230769230769,0.0,0.0,0.0,0.5,0.17751479289940802,0.0,0.0,0.17751479289940802,0.5,0.384615384615384,0.25490196078431304,0.866666666666666,0.39393939393939303,0.5546666666666661,0.40385340736290004,0.24147203394704403,0.015133419483552001,0.17751479289940802,0.553333333333333,0.769230769230769,0.0,0.0,0.0,0.49066666666666603,0.22816921927011102,0.069479760580652,0.018825334209949002,0.17751479289940802,0.5
auto_categorization,0.21150015294551802,0.9242424242424241,0.0,0.0,0.0,0.790322580645161,0.057925792508027006,0.009639903915114,0.008647077430962,0.05693296602387501,0.491935483870967,0.060606060606060004,1.5809000000000002,41.747,5.693,66.0,0.9393939393939391,0.0,0.0,0.0,0.5,0.05693296602387501,0.0,0.0,0.05693296602387501,0.5,0.07575757575757501,0.06153846153846101,1.0,0.11594202898550701,0.6129032258064511,0.8854450299822391,0.829500974038183,0.0009889100798190001,0.05693296602387501,0.508064516129032,0.9393939393939391,0.0,0.0,0.0,0.979838709677419,0.050122007164579006,0.029919986962558,0.036730945821854,0.05693296602387501,0.5
cause_and_effect,0.7270537614822381,0.48387096774193505,0.482758620689655,0.9333333333333331,0.636363636363636,0.48333333333333306,0.26603107512947904,0.02879989233378,0.012508671522719,0.24973985431841803,0.49791666666666606,0.48387096774193505,0.7847000000000001,39.504,5.097,31.0,0.5161290322580641,0.0,0.0,0.0,0.5,0.24973985431841803,0.0,0.0,0.24973985431841803,0.5,0.48387096774193505,0.48387096774193505,1.0,0.652173913043478,0.55,0.371035859024333,0.15961112784153703,0.038315123135622006,0.24973985431841803,0.5,0.5161290322580641,0.0,0.0,0.0,0.4,0.38831942384230306,0.154064431522795,0.015484861998909001,0.24973985431841803,0.5
chess_state_tracking,0.6713286638259881,0.5637254901960781,0.522058823529411,0.747368421052631,0.614718614718614,0.6106228874939641,0.239397365715554,0.011671728063445,0.021096930590874002,0.24882256824298302,0.5755190729116361,0.46568627450980304,4.6206,44.15,5.627,204.0,0.5343137254901961,0.0,0.0,0.0,0.5,0.24882256824298302,0.0,0.0,0.24882256824298302,0.5,0.436274509803921,0.37179487179487103,0.305263157894736,0.335260115606936,0.34534041525832904,0.340993827022922,0.09217125877993801,0.0,0.24882256824298302,0.42786093674553305,0.5343137254901961,0.0,0.0,0.0,0.580878802510864,0.46566305363445604,0.23042708383804103,0.013586598446568001,0.24882256824298302,0.5
common_morpheme,0.6476696133613581,0.7000000000000001,0.0,0.0,0.0,0.33333333333333304,0.22635397521225703,0.016830165688447002,0.00047619047619000006,0.20999999999999902,0.5,0.30000000000000004,0.3305,30.257,6.051,10.0,0.7000000000000001,0.0,0.0,0.0,0.5,0.20999999999999902,0.0,0.0,0.20999999999999902,0.5,0.4,0.33333333333333304,1.0,0.5,0.23809523809523803,0.514068641974701,0.314068641974701,0.009999999999999001,0.20999999999999902,0.5714285714285711,0.7000000000000001,0.0,0.0,0.0,0.5238095238095231,0.29597114540962505,0.112637812076292,0.026666666666666002,0.20999999999999902,0.5
conceptual_combinations,0.7429875135421751,0.42857142857142805,0.0,0.0,0.0,0.6944444444444441,0.27465392160080604,0.142785789732674,0.11302982731554101,0.24489795918367302,0.5,0.5714285714285711,0.55,38.183,5.455,21.0,0.5714285714285711,0.5714285714285711,1.0,0.7272727272727271,0.5,0.24489795918367302,0.0,0.0,0.24489795918367302,0.5,0.5714285714285711,0.6153846153846151,0.6666666666666661,0.64,0.6296296296296291,0.23369680255541503,0.038685464686935005,0.049886621315192003,0.24489795918367302,0.555555555555555,0.42857142857142805,0.0,0.0,0.0,0.388888888888888,0.475029359456252,0.232965867392759,0.0028344671201810004,0.24489795918367302,0.5
crash_blossom,0.719533801078796,0.25,0.14285714285714202,1.0,0.25,1.0,0.26327459876811204,0.26327459876811204,0.109375,0.109375,0.5714285714285711,0.125,0.25220000000000004,31.72,3.965,8.0,0.875,0.0,0.0,0.0,0.5,0.109375,0.0,0.0,0.109375,0.5,1.0,1.0,1.0,1.0,1.0,0.17548575107973202,0.17548575107973202,0.109375,0.109375,1.0,0.875,0.0,0.0,0.0,1.0,0.095444511770068,0.095444511770068,0.109375,0.109375,0.5
cryobiology_spanish,0.592296063899993,0.6551724137931031,0.8125,0.65,0.7222222222222221,0.7555555555555551,0.202924972476722,0.05694796098246901,0.06805390408244101,0.21403091557669401,0.6583333333333331,0.689655172413793,0.7302000000000001,39.714,5.478,29.0,0.689655172413793,0.689655172413793,1.0,0.816326530612244,0.5,0.21403091557669401,0.0,0.0,0.21403091557669401,0.5,0.689655172413793,0.689655172413793,1.0,0.816326530612244,0.39444444444444404,0.289456320601077,0.084351081013079,0.008925675988696001,0.21403091557669401,0.5,0.344827586206896,1.0,0.05,0.09523809523809501,0.672222222222222,0.55618050944442,0.40028970484671805,0.058140110978993007,0.21403091557669401,0.525
cs_algorithms,0.13469499349594102,0.9638554216867471,0.9666666666666661,0.9354838709677411,0.950819672131147,0.989609181141439,0.032818476519206004,0.008174445851079001,0.209352195199197,0.23399622586732402,0.9581265508684861,0.37349397590361405,3.7564,44.191,5.59,166.0,0.626506024096385,0.0,0.0,0.0,0.5,0.23399622586732402,0.0,0.0,0.23399622586732402,0.5,0.638554216867469,0.508771929824561,0.9354838709677411,0.6590909090909091,0.788306451612903,0.253938977847373,0.09597084156598401,0.076028089585935,0.23399622586732402,0.6985111662531011,0.626506024096385,0.0,0.0,0.0,0.385700992555831,0.35706598250487903,0.13591823361458102,0.012848476977026001,0.23399622586732402,0.5
date_understanding,0.582055330276489,0.6756756756756751,0.6666666666666661,0.883720930232558,0.759999999999999,0.7689422355588891,0.19843939753877401,0.029520478619855003,0.074506939371803,0.24342585829072302,0.6354088522130531,0.581081081081081,1.7586,42.078,5.686,74.0,0.581081081081081,0.581081081081081,1.0,0.7350427350427351,0.5,0.24342585829072302,0.0,0.0,0.24342585829072302,0.5,0.648648648648648,0.639344262295082,0.9069767441860461,0.75,0.746436609152288,0.22334077197934102,0.044257340721997,0.064342427033378,0.24342585829072302,0.598649662415603,0.418918918918918,0.0,0.0,0.0,0.6691672918229551,0.5557497117962811,0.35988852803187105,0.047564674526313,0.24342585829072302,0.5
dyck_languages,0.321890711784362,0.845,0.805555555555555,0.547169811320754,0.651685393258427,0.9235014760621231,0.104324762136745,0.017824762136745,0.10827499999999901,0.194775,0.749775381850853,0.265,4.493,44.514,5.564,200.0,0.735,0.0,0.0,0.0,0.5,0.194775,0.0,0.0,0.194775,0.5,0.75,0.527272727272727,0.547169811320754,0.5370370370370371,0.7156975997946341,0.18949178968921201,0.036983831184302006,0.04226704149509,0.194775,0.685149531510717,0.735,0.0,0.0,0.0,0.487742266718007,0.24057566615464002,0.05567029531065001,0.009869629156010001,0.194775,0.5
emojis_emotion_prediction,0.43382954597473106,1.0,0.0,0.0,0.0,,0.12398172137829801,0.12398172137829801,0.0,0.0,1.0,0.0,0.10690000000000001,18.704,9.352,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.10972125410286401,0.10972125410286401,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.01599712038134,0.01599712038134,0.0,0.0,1.0
english_proverbs,0.6446648240089411,0.7142857142857141,0.5,0.5,0.5,0.6000000000000001,0.226031085726691,0.11174537484695601,0.089795921773326,0.204081632653061,0.65,0.28571428571428503,0.2394,29.242,4.177,7.0,0.7142857142857141,0.0,0.0,0.0,0.5,0.204081632653061,0.0,0.0,0.204081632653061,0.5,0.42857142857142805,0.25,0.5,0.33333333333333304,0.399999999999999,0.32906894492388705,0.138592754447696,0.013605442176870002,0.204081632653061,0.45,0.7142857142857141,0.0,0.0,0.0,0.0,0.27883833184987,0.07475669919680901,0.0,0.204081632653061,0.5
english_russian_proverbs,0.45491227507591203,0.875,0.0,0.0,0.0,0.10714285714285701,0.13673349333134602,0.028400159998012,0.001041666666666,0.109375,0.5,0.125,0.4238,37.758,4.72,16.0,0.875,0.0,0.0,0.0,0.5,0.109375,0.0,0.0,0.109375,0.5,0.1875,0.133333333333333,1.0,0.23529411764705802,0.535714285714285,0.5270317741731301,0.42911510750646403,0.011458333333333001,0.109375,0.535714285714285,0.875,0.0,0.0,0.0,0.75,0.12269679573198301,0.068009295731983,0.0546875,0.109375,0.5
entailed_polarity,0.17707064747810303,0.9666666666666661,0.9666666666666661,1.0,0.983050847457627,0.9310344827586201,0.038245275252301,0.016023053030078,0.009999999999999001,0.032222222222222,0.5,0.9666666666666661,0.7597,39.488,5.265,30.0,0.9666666666666661,0.9666666666666661,1.0,0.983050847457627,0.5,0.032222222222222,0.0,0.0,0.032222222222222,0.5,0.9666666666666661,0.9666666666666661,1.0,0.983050847457627,0.7241379310344821,0.10038035170208101,0.070750722072451,0.002592592592592,0.032222222222222,0.5,0.033333333333333,0.0,0.0,0.0,0.9310344827586201,0.936653715032825,0.9144314928106021,0.009999999999999001,0.032222222222222,0.5
entailed_polarity_hindi,0.654043555259704,0.642857142857142,0.642857142857142,1.0,0.7826086956521741,0.383333333333333,0.23062599606991602,0.016340281784201,0.015306122448979002,0.22959183673469302,0.5,0.642857142857142,0.6887,40.655,5.808,28.0,0.642857142857142,0.642857142857142,1.0,0.7826086956521741,0.5,0.22959183673469302,0.0,0.0,0.22959183673469302,0.5,0.642857142857142,0.642857142857142,1.0,0.7826086956521741,0.527777777777777,0.22972132011024501,0.01245941534834,0.012329931972789001,0.22959183673469302,0.5,0.35714285714285704,0.0,0.0,0.0,0.494444444444444,0.600023495228953,0.39174018190362303,0.021308523409363,0.22959183673469302,0.5
fact_checker,0.6255030632019041,0.6606060606060601,0.664634146341463,0.9909090909090911,0.7956204379562041,0.635702479338843,0.21760045193009503,0.016427058700547,0.021048828992674,0.22222222222222202,0.49545454545454504,0.6666666666666661,3.7325,44.207,5.626,165.0,0.6666666666666661,0.6666666666666661,1.0,0.8,0.5,0.22222222222222202,0.0,0.0,0.22222222222222202,0.5,0.6666666666666661,0.6666666666666661,1.0,0.8,0.704297520661157,0.19481874528839802,0.016632946412944,0.044036423346768,0.22222222222222202,0.5,0.33333333333333304,0.0,0.0,0.0,0.6104132231404951,0.662988101106152,0.458909078941006,0.018143200057075003,0.22222222222222202,0.5
fantasy_reasoning,0.674620747566223,0.525,0.65625,0.7241379310344821,0.6885245901639341,0.401253918495297,0.24136965013938702,0.04629389256363001,0.004299242424242,0.19937500000000002,0.36206896551724105,0.725,0.9629000000000001,41.539,5.192,40.0,0.725,0.725,1.0,0.840579710144927,0.5,0.19937500000000002,0.0,0.0,0.19937500000000002,0.5,0.725,0.725,1.0,0.840579710144927,0.5579937304075231,0.21430628225085901,0.032937234631811,0.018005952380952,0.19937500000000002,0.5,0.275,0.0,0.0,0.0,0.45768025078369906,0.6505840628089771,0.47100816995183403,0.019799107142857,0.19937500000000002,0.5
figure_of_speech_detection,0.577195823192596,0.75,0.0,0.0,0.0,0.6000000000000001,0.19421426753523702,0.08310315642412601,0.027777777777777003,0.138888888888888,0.45,0.16666666666666602,0.3599,33.345,5.558,12.0,0.833333333333333,0.0,0.0,0.0,0.5,0.138888888888888,0.0,0.0,0.138888888888888,0.5,0.833333333333333,0.5,0.5,0.5,0.6000000000000001,0.166772669664168,0.09269859559009301,0.064814814814814,0.138888888888888,0.7000000000000001,0.833333333333333,0.0,0.0,0.0,0.9,0.127448566784146,0.07189301122859,0.08333333333333301,0.138888888888888,0.5
