task,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_task_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,instance_count,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy
abstract_narrative_understanding,0.6578069925308221,0.658846529814271,0.44285714285714206,0.09090909090909001,0.15085158150851502,0.530750939534403,0.232401196204427,0.01222382121702,0.002044847234815,0.22222222222222202,0.5168621700879761,0.33333333333333304,16.9019,60.526,7.573,1023.0,0.6666666666666661,0.0,0.0,0.0,0.5,0.22222222222222202,0.0,0.0,0.22222222222222202,0.5,0.44477028347996006,0.36786961583236305,0.926686217008797,0.5266666666666661,0.701496805153034,0.401431964753643,0.212283032962398,0.033073290430976,0.22222222222222202,0.56524926686217,0.665689149560117,0.33333333333333304,0.002932551319648,0.005813953488372,0.5594723127596081,0.32586357153479,0.11101190713062802,0.007370557818060001,0.22222222222222202,0.5
chess_state_tracking,1.041774868965149,0.526470588235294,0.0,0.0,0.0,0.38576787690219805,0.367418918001908,0.11811961004343001,-3.05311331771918e-16,0.24929930795847702,0.5,0.47352941176470503,17.0009,59.997,7.529,1020.0,0.526470588235294,0.0,0.0,0.0,0.5,0.24929930795847702,0.0,0.0,0.24929930795847702,0.5,0.424509803921568,0.376777251184834,0.32919254658385,0.35138121546961304,0.35703104818965803,0.338004944775391,0.08892568598649801,0.00022004916958400002,0.24929930795847702,0.41971731612246505,0.526470588235294,0.0,0.0,0.0,0.6409775957990671,0.47349783942829204,0.24363059184344701,0.019432060373633,0.24929930795847702,0.5
common_morpheme,0.6848756670951841,0.62,0.2,0.0625,0.09523809523809501,0.393382352941176,0.24547885286026902,0.03330493981679,0.0054260869565210005,0.21760000000000002,0.47242647058823506,0.32,0.8574,58.318,8.164,50.0,0.68,0.0,0.0,0.0,0.5,0.21760000000000002,0.0,0.0,0.21760000000000002,0.5,0.44,0.35714285714285704,0.9375,0.5172413793103441,0.53860294117647,0.42097073632105303,0.21370883155914802,0.010338095238095,0.21760000000000002,0.5716911764705881,0.68,0.0,0.0,0.0,0.551470588235294,0.315019380916004,0.116711688608311,0.019292307692307,0.21760000000000002,0.5
cs_algorithms,0.52960467338562,0.765625,0.57514450867052,0.805668016194332,0.6711635750421581,0.8148794075919581,0.17632563288216702,0.038095898981174006,0.070510500474006,0.208740234375,0.7771929824561401,0.296875,13.7209,60.637,7.58,832.0,0.703125,0.0,0.0,0.0,0.5,0.208740234375,0.0,0.0,0.208740234375,0.5,0.609375,0.423828125,0.8785425101214571,0.571805006587615,0.769493754109138,0.27467069658111803,0.11480334951127001,0.048872887305151005,0.208740234375,0.687134502923976,0.703125,0.0,0.0,0.0,0.42509429392020404,0.284576110898966,0.08440408864877001,0.008568212124804,0.208740234375,0.5
emoji_movie,0.5811113119125361,0.73,0.2,0.09523809523809501,0.12903225806451601,0.5174804098854731,0.195470478132607,0.033214525751655004,0.0036440476190470004,0.16590000000000002,0.49698613622664206,0.21,3.3199,60.243,7.53,200.0,0.79,0.0,0.0,0.0,0.5,0.16590000000000002,0.0,0.0,0.16590000000000002,0.5,0.335,0.21019108280254703,0.785714285714285,0.33165829145728604,0.362718505123568,0.588786929732251,0.42317529918968205,0.00028836945743000004,0.16590000000000002,0.500452079566003,0.79,0.0,0.0,0.0,0.820976491862567,0.15163356388813,0.035387626624335006,0.049654062736205005,0.16590000000000002,0.5
entailed_polarity,0.461967676877975,0.8581081081081081,0.8794326241134751,0.9687500000000001,0.921933085501858,0.546875,0.14199684582091301,0.031422747475075,0.006299532041306,0.116873630387143,0.559375,0.864864864864864,2.4651,60.038,7.708,148.0,0.864864864864864,0.864864864864864,1.0,0.9275362318840581,0.5,0.116873630387143,0.0,0.0,0.116873630387143,0.5,0.864864864864864,0.864864864864864,1.0,0.9275362318840581,0.8855468750000001,0.11996457487360601,0.039247828715684004,0.036156884229221004,0.116873630387143,0.5,0.135135135135135,0.0,0.0,0.0,0.826171875,0.837949970831466,0.751129977761473,0.030053637317150002,0.116873630387143,0.5
hindu_knowledge,0.739775240421295,0.48,0.430555555555555,0.873239436619718,0.576744186046511,0.597237269772481,0.271781708814253,0.047433717037690004,0.016762212305069,0.24111020408163203,0.5423889490790891,0.40571428571428503,2.8996,60.354,7.587,175.0,0.5942857142857141,0.0,0.0,0.0,0.5,0.24111020408163203,0.0,0.0,0.24111020408163203,0.5,0.548571428571428,0.464285714285714,0.732394366197183,0.568306010928961,0.618770314192849,0.27296800254318904,0.051696718444976,0.01983891998342,0.24111020408163203,0.5777356446370531,0.668571428571428,0.638297872340425,0.422535211267605,0.5084745762711861,0.637459371614301,0.23367622506601202,0.023982228753262003,0.031416207768883,0.24111020408163203,0.629536836403033
identify_math_theorems,0.648079216480255,0.641509433962264,0.0,0.0,0.0,0.5634674922600611,0.227473978759751,0.024329324671701003,0.026830426011629,0.229975080099679,0.5,0.35849056603773505,0.9105000000000001,58.207,7.688,53.0,0.641509433962264,0.0,0.0,0.0,0.5,0.229975080099679,0.0,0.0,0.229975080099679,0.5,0.528301886792452,0.425,0.894736842105263,0.5762711864406781,0.623839009287925,0.31241588693015504,0.108577796299612,0.026136989469136004,0.229975080099679,0.609133126934984,0.641509433962264,0.0,0.0,0.0,0.5650154798761611,0.348471504358469,0.14151656383163502,0.023020139572845003,0.229975080099679,0.5
multiemo,0.7105609178543091,0.5464646464646461,0.5777777777777771,0.21802935010482102,0.316590563165905,0.5340435878888931,0.25700120044226205,0.011268776010633001,0.003936997055974,0.24966942148760302,0.5349406009783361,0.48181818181818103,16.3697,60.477,7.575,990.0,0.5181818181818181,0.0,0.0,0.0,0.5,0.24966942148760302,0.0,0.0,0.24966942148760302,0.5,0.567676767676767,0.5415959252971131,0.6687631027253661,0.5984990619136961,0.6012317072672361,0.24387253530419503,0.007808162640848001,0.013605048824255,0.24966942148760302,0.5712236566258411,0.52020202020202,1.0,0.004192872117400001,0.008350730688935,0.532012537750152,0.41300028196861704,0.166761324280596,0.0034304637995820004,0.24966942148760302,0.5020964360587
penguins_in_a_table,0.595724403858184,0.7214765100671141,0.0,0.0,0.0,0.5227514710002801,0.202346096119725,0.013888600638626,0.012490660007393002,0.20094815548849101,0.5,0.278523489932885,4.9634,60.039,7.656,298.0,0.7214765100671141,0.0,0.0,0.0,0.5,0.20094815548849101,0.0,0.0,0.20094815548849101,0.5,0.436241610738255,0.30769230769230704,0.819277108433734,0.447368421052631,0.5070888203978701,0.49523449911973205,0.29857656198722704,0.004290218355985,0.20094815548849101,0.553824600728495,0.7248322147651001,0.518518518518518,0.16867469879518002,0.254545454545454,0.7604090781731571,0.17161230194849802,0.015518685416681001,0.044854538956674,0.20094815548849101,0.554104791258055
