task,test_loss,test_accuracy,test_roc_auc,test_runtime,test_samples_per_second,test_steps_per_second,instance_count
anachronisms,0.6931437849998471,0.565217391304347,0.6136363636363631,1.469,31.313,31.313,46.0
analogical_similarity,1.945885419845581,0.12307692307692301,0.5,4.7094000000000005,13.802,13.802,65.0
analytic_entailment,0.693070888519287,0.7142857142857141,0.7291666666666661,0.45790000000000003,30.575,30.575,14.0
authorship_verification,0.693206012248992,0.517045454545454,0.483264141152049,5.6287,31.268,31.268,176.0
bbq_lite_json,1.098614931106567,0.346534653465346,0.481106060536431,7.9029,25.56,25.56,202.0
causal_judgment,0.6931549310684201,0.5,0.501538461538461,1.2295,30.908,30.908,38.0
cause_and_effect,0.6931382417678831,0.6451612903225801,,0.983,31.537,31.537,31.0
cifar10_classification,2.30258822441101,0.078048780487804,0.47698686987064404,19.8389,10.333,10.333,205.0
common_morpheme,1.386177778244018,0.8,0.8288888888888891,0.49620000000000003,20.153,20.153,10.0
conceptual_combinations,1.386332392692566,0.28571428571428503,,1.0096,20.8,20.8,21.0
crash_blossom,1.386366248130798,0.0,,0.39780000000000004,20.111,20.111,8.0
crass_ai,1.3863705396652222,0.44444444444444403,,0.4395,20.48,20.48,9.0
cryobiology_spanish,0.6931042671203611,0.5862068965517241,,0.9255,31.335,31.335,29.0
dark_humor_detection,0.693219780921936,0.4375,0.28333333333333305,0.5215000000000001,30.683,30.683,16.0
discourse_marker_prediction,2.302439451217651,0.19298245614035,0.6558136088049691,16.5635,10.324,10.324,171.0
emojis_emotion_prediction,2.079430818557739,0.0,,0.3307,12.097,12.097,4.0
empirical_judgments,1.098617792129516,0.25,0.423901098901098,0.7959,25.128,25.128,20.0
english_russian_proverbs,1.38635778427124,0.1875,0.379807692307692,0.787,20.331,20.331,16.0
entailed_polarity,0.693150699138641,0.5666666666666661,0.7241379310344821,0.9721000000000001,30.862,30.862,30.0
entailed_polarity_hindi,0.693133354187011,0.7142857142857141,0.6725146198830411,0.8976000000000001,31.195,31.195,28.0
epistemic_reasoning,0.693153500556945,0.49268292682926806,0.42695279866332503,6.4605,31.731,31.731,205.0
evaluating_information_essentiality,1.609415769577026,0.21428571428571402,0.576839826839826,0.8701000000000001,16.09,16.09,14.0
fact_checker,0.693142116069793,0.509090909090909,0.53,5.1927,31.776,31.776,165.0
fantasy_reasoning,0.6931432485580441,0.525,0.586466165413533,1.2778,31.303,31.303,40.0
figure_of_speech_detection,2.302624940872192,0.08333333333333301,,1.1505,10.43,10.43,12.0
formal_fallacies_syllogisms_negation,0.6931490302085871,0.521951219512195,0.50319473583826,6.5046,31.516,31.516,205.0
hhh_alignment,0.693100810050964,0.522727272727272,,1.3971,31.493,31.493,44.0
hinglish_toxicity,0.6931568980216981,0.35000000000000003,0.514666666666666,1.2759,31.351,31.351,40.0
human_organs_senses,1.3862748146057131,0.5,,0.38980000000000004,20.521,20.521,8.0
hyperbaton,0.69309002161026,0.5804878048780481,0.5873068853709701,6.4412,31.826,31.826,205.0
implicatures,0.6931353807449341,0.6224489795918361,0.560129310344827,3.0927,31.688,31.688,98.0
implicit_relations,3.218763351440429,0.058823529411764004,,3.7491,4.534,4.534,17.0
intent_recognition,1.9458667039871211,0.237410071942446,0.582691336313058,9.8436,14.121,14.121,139.0
international_phonetic_alphabet_nli,1.098602771759033,0.36,0.552836601307189,0.9975,25.063,25.063,25.0
irony_identification,0.693080961704254,0.6000000000000001,0.42857142857142805,0.6448,31.015,31.015,20.0
key_value_maps,0.6931628584861751,0.35000000000000003,0.6000000000000001,0.6499,30.775,30.775,20.0
known_unknowns,0.6932132840156551,0.33333333333333304,0.399999999999999,0.3015,29.848,29.848,9.0
language_identification,2.397880792617798,0.097560975609756,0.5245260079773061,21.8488,9.383,9.383,205.0
logical_args,1.609388947486877,0.33333333333333304,,0.3458,17.351,17.351,6.0
logical_fallacy_detection,0.693167209625244,0.502439024390243,0.44512312427856804,6.4659,31.705,31.705,205.0
mathematical_induction,0.6931434869766231,0.5714285714285711,0.625,0.4596,30.462,30.462,14.0
metaphor_boolean,0.6931572556495661,0.47058823529411703,0.45891455972101103,4.2884,31.713,31.713,136.0
metaphor_understanding,1.386380076408386,0.19148936170212702,,2.2556,20.837,20.837,47.0
misconceptions,0.693150639533996,0.45454545454545403,0.49375,1.3971,31.493,31.493,44.0
misconceptions_russian,0.692926406860351,0.8,,0.3246,30.805,30.805,10.0
mnist_ascii,2.302581548690796,0.063414634146341,0.5367577627205871,19.9029,10.3,10.3,205.0
moral_permissibility,0.69315630197525,0.41176470588235203,0.43859649122807004,2.1643,31.418,31.418,68.0
movie_dialog_same_or_different,0.69315093755722,0.478048780487804,0.45983419096626604,6.5143,31.469,31.469,205.0
movie_recommendation,1.386376500129699,0.08,0.35345609099804304,4.7818000000000005,20.912,20.912,100.0
multiemo,1.386287808418274,0.31313131313131304,0.5185059034288451,9.6173,20.588,20.588,198.0
navigate,0.693147301673889,0.48,0.49679487179487103,6.2899,31.797,31.797,200.0
persian_idioms,1.38629674911499,0.23076923076923,,0.6291,20.665,20.665,13.0
phrase_relatedness,1.3861989974975581,0.4,0.7128273809523811,0.9691000000000001,20.638,20.638,20.0
play_dialog_same_or_different,0.693151354789733,0.468292682926829,0.464473407609838,6.5089,31.495,31.495,205.0
presuppositions_as_nli,1.098621129989624,0.32653061224489704,0.46353966348444103,5.7467,25.58,25.58,147.0
riddle_sense,1.609429597854614,0.2,,0.5642,17.725,17.725,10.0
salient_translation_error_detection,1.791762351989746,0.19,0.46873270613153406,12.7995,15.626,15.626,200.0
sentence_ambiguity,0.693112313747406,0.416666666666666,0.6666666666666661,0.3952,30.363,30.363,12.0
simple_ethical_questions,1.386309266090393,0.260869565217391,,1.1127,20.67,20.67,23.0
snarks,0.6931439638137811,0.5,0.6327160493827161,1.1512,31.271,31.271,36.0
social_support,1.098641395568847,0.145251396648044,0.46080081201742806,6.9943,25.592,25.592,179.0
sports_understanding,0.6931544542312621,0.44162436548223305,0.490200166805671,6.1873000000000005,31.839,31.839,197.0
suicide_risk,1.386312246322631,0.125,0.47142857142857103,0.40540000000000004,19.735,19.735,8.0
swahili_english_proverbs,1.386387825012207,0.19354838709677402,,1.4881,20.832,20.832,31.0
swedish_to_german_proverbs,1.386458039283752,0.14285714285714202,0.257936507936507,0.6892,20.315,20.315,14.0
symbol_interpretation,1.60945451259613,0.23232323232323202,0.48221639076277506,11.0978,17.841,17.841,198.0
temporal_sequences,1.386293172836303,0.23,,9.5945,20.845,20.845,200.0
timedial,1.09866189956665,0.34146341463414603,,8.0462,25.478,25.478,205.0
understanding_fables,1.609456658363342,0.23684210526315702,0.48871419850922304,2.1447,17.718,17.718,38.0
unit_interpretation,1.609464406967163,0.2,0.41131357806280405,1.1303,17.695,17.695,20.0
vitaminc_fact_verification,1.098583579063415,0.43902439024390205,0.5462411639958661,7.9846,25.674,25.674,205.0
what_is_the_tao,0.693150162696838,0.28571428571428503,0.583333333333333,0.2399,29.173,29.173,7.0
which_wiki_edit,1.38628602027893,0.23684210526315702,,5.4791,20.806,20.806,114.0
winowhy,0.6931493878364561,0.521951219512195,0.513270050368074,6.4692,31.689,31.689,205.0
