task,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_task_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,instance_count,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy
abstract_narrative_understanding,0.652121663093566,0.6536585365853651,0.0,0.0,0.0,0.488122766449442,0.229685006065656,0.004917802977162,0.0016218510459490001,0.22638905413444302,0.5,0.346341463414634,3.4434,59.535,7.551,205.0,0.6536585365853651,0.0,0.0,0.0,0.5,0.22638905413444302,0.0,0.0,0.22638905413444302,0.5,0.380487804878048,0.35106382978723405,0.929577464788732,0.5096525096525091,0.651881437881017,0.454617249841743,0.25637341526037905,0.028145219553079002,0.22638905413444302,0.509564851797351,0.6682926829268291,0.6153846153846151,0.112676056338028,0.19047619047619002,0.5517132646626021,0.30751750719889803,0.095180629983972,0.014052176919517,0.22638905413444302,0.537681311751103
auto_categorization,0.6860115528106691,0.8484848484848481,0.0,0.0,0.0,0.323214285714285,0.24643232727858602,0.118967199813459,0.0010931829113640002,0.128558310376492,0.5,0.15151515151515102,1.1241,58.714,8.006,66.0,0.8484848484848481,0.0,0.0,0.0,0.5,0.128558310376492,0.0,0.0,0.128558310376492,0.5,0.21212121212121202,0.16129032258064502,1.0,0.277777777777777,0.678571428571428,0.742308271866414,0.6237311967676,0.009981235277677001,0.128558310376492,0.535714285714285,0.8787878787878781,1.0,0.2,0.33333333333333304,0.9785714285714281,0.06700198599561401,0.042759561753189006,0.104315886134067,0.128558310376492,0.6000000000000001
bbq_lite_json,0.62996882200241,0.683168316831683,0.683168316831683,1.0,0.8117647058823521,0.480072463768115,0.21895571089218802,0.00634282872485,0.0038364855417100004,0.21644936770904802,0.5,0.683168316831683,3.3796,59.771,7.693,202.0,0.683168316831683,0.683168316831683,1.0,0.8117647058823521,0.5,0.21644936770904802,0.0,0.0,0.21644936770904802,0.5,0.6980198019801981,0.695431472081218,0.9927536231884051,0.817910447761194,0.716145833333333,0.19976581314684802,0.021923471459263003,0.038607026021463,0.21644936770904802,0.527626811594202,0.683168316831683,0.737179487179487,0.833333333333333,0.782312925170068,0.6619112318840581,0.20991108197667502,0.021822244135362,0.028360529867735,0.21644936770904802,0.5963541666666661
cause_and_effect,0.6918066740036011,0.7741935483870961,0.8148148148148141,0.9166666666666661,0.8627450980392151,0.6369047619047611,0.24932981487357203,0.12123257317184201,0.046720656321162006,0.17481789802289202,0.601190476190476,0.7741935483870961,0.5409,57.314,7.395,31.0,0.7741935483870961,0.7741935483870961,1.0,0.872727272727272,0.5,0.17481789802289202,0.0,0.0,0.17481789802289202,0.5,0.7741935483870961,0.7741935483870961,1.0,0.872727272727272,0.43452380952380903,0.230183412772163,0.057574471063051004,0.002208956313781,0.17481789802289202,0.5,0.41935483870967705,0.6666666666666661,0.5,0.5714285714285711,0.172619047619047,0.5870806468181661,0.413962367248273,0.001699618453,0.17481789802289202,0.321428571428571
chess_state_tracking,0.5035182833671571,0.794117647058823,0.0,0.0,0.0,0.752351557907113,0.161984960880022,0.024974021874367,0.026483870682925,0.16349480968858102,0.5,0.20588235294117602,3.4513,59.108,7.533,204.0,0.794117647058823,0.0,0.0,0.0,0.5,0.16349480968858102,0.0,0.0,0.16349480968858102,0.5,0.529411764705882,0.26724137931034403,0.738095238095238,0.39240506329113906,0.6075837742504411,0.29945350086339,0.148720776296994,0.012762085122185001,0.16349480968858102,0.606701940035273,0.794117647058823,0.0,0.0,0.0,0.631393298059964,0.20587136549929502,0.055882978912237,0.013506423101522001,0.16349480968858102,0.5
codenames,0.6915211677551271,0.764705882352941,0.0,0.0,0.0,0.15384615384615302,0.249186998369741,0.06925620252199001,0.0,0.17993079584775,0.5,0.23529411764705802,0.3622,46.934,8.282,17.0,0.764705882352941,0.0,0.0,0.0,0.5,0.17993079584775,0.0,0.0,0.17993079584775,0.5,0.23529411764705802,0.23529411764705802,1.0,0.38095238095238004,0.5,0.764705882352941,0.5847750865051901,0.0,0.17993079584775,0.5,0.8235294117647051,1.0,0.25,0.4,1.0,0.151457358876344,0.151457358876344,0.17993079584775,0.17993079584775,0.625
common_morpheme,0.6922701001167291,0.7000000000000001,0.0,0.0,0.0,0.38095238095238004,0.24956146309856703,0.062061463098567006,0.022500000000000003,0.21000000000000002,0.5,0.30000000000000004,0.2063,48.478,9.696,10.0,0.7000000000000001,0.0,0.0,0.0,0.5,0.21000000000000002,0.0,0.0,0.21000000000000002,0.5,0.4,0.33333333333333304,1.0,0.5,0.42857142857142805,0.543573301526842,0.348573301526842,0.015000000000000001,0.21000000000000002,0.5714285714285711,0.4,0.33333333333333304,1.0,0.5,0.5238095238095231,0.5180486329088131,0.33804863290881304,0.03,0.21000000000000002,0.5714285714285711
conceptual_combinations,0.692473113536834,0.5714285714285711,0.0,0.0,0.0,0.6944444444444441,0.24966293598483602,0.07592556224746201,0.07116058544629901,0.24489795918367302,0.5,0.42857142857142805,0.3796,55.323,7.9030000000000005,21.0,0.5714285714285711,0.0,0.0,0.0,0.5,0.24489795918367302,0.0,0.0,0.24489795918367302,0.5,0.47619047619047605,0.44444444444444403,0.8888888888888881,0.592592592592592,0.62037037037037,0.338744797276604,0.159039581857103,0.065192743764172,0.24489795918367302,0.527777777777777,0.5238095238095231,0.47058823529411703,0.8888888888888881,0.6153846153846151,0.62037037037037,0.33008498672928005,0.150379771309779,0.065192743764172,0.24489795918367302,0.5694444444444441
crash_blossom,0.675513744354248,0.625,0.625,1.0,0.769230769230769,0.2,0.24120226448213103,0.0068272644821310005,0.0,0.234375,0.5,0.625,0.161,49.689,6.211,8.0,0.625,0.625,1.0,0.769230769230769,0.5,0.234375,0.0,0.0,0.234375,0.5,0.5,0.5714285714285711,0.8,0.6666666666666661,0.2,0.312202222152817,0.07782722215281701,0.0,0.234375,0.4,0.375,0.5,0.6000000000000001,0.5454545454545451,0.266666666666666,0.30776472867230303,0.07443139533897,0.001041666666666,0.234375,0.30000000000000004
cryobiology_spanish,0.6923311352729791,0.758620689655172,0.7916666666666661,0.9047619047619041,0.8444444444444441,0.767857142857142,0.24959194712216,0.125468943688811,0.075639184438232,0.199762187871581,0.639880952380952,0.7241379310344821,0.5103,56.828,7.838,29.0,0.7241379310344821,0.7241379310344821,1.0,0.8400000000000001,0.5,0.199762187871581,0.0,0.0,0.199762187871581,0.5,0.7241379310344821,0.7241379310344821,1.0,0.8400000000000001,0.494047619047618,0.24270088973212403,0.060652208190542005,0.017713506329999,0.199762187871581,0.5,0.6551724137931031,0.7894736842105261,0.7142857142857141,0.7500000000000001,0.577380952380952,0.277076065678638,0.103456581714327,0.026142703907269003,0.199762187871581,0.6071428571428571
cs_algorithms,0.6808450222015381,0.53012048192771,0.0,0.0,0.0,0.7055652680652681,0.24390478320875203,0.045314298274362,0.05050227163405201,0.24909275656844201,0.5,0.46987951807228906,2.789,59.519,7.529,166.0,0.53012048192771,0.0,0.0,0.0,0.5,0.24909275656844201,0.0,0.0,0.24909275656844201,0.5,0.6867469879518071,0.622641509433962,0.846153846153846,0.717391304347825,0.724796037296037,0.219162499574338,0.030570181584430003,0.060500438578534,0.24909275656844201,0.6958041958041951,0.692771084337349,0.628571428571428,0.846153846153846,0.7213114754098361,0.7240675990675991,0.21703304276842503,0.026528818077453,0.058588531877470006,0.24909275656844201,0.7014860139860141
dark_humor_detection,0.6930080056190491,0.4375,0.0,0.0,0.0,0.746031746031746,0.24993042465226503,0.11868042465226501,0.11484374999999901,0.24609375,0.5,0.5625,0.2923,54.734,6.842,16.0,0.5625,0.5625,1.0,0.72,0.5,0.24609375,0.0,0.0,0.24609375,0.5,0.5625,0.5625,1.0,0.72,0.682539682539682,0.282034936621591,0.12318076995492501,0.08723958333333301,0.24609375,0.5,0.5625,0.5625,1.0,0.72,0.6666666666666661,0.269842572703604,0.110751663612695,0.08700284090909001,0.24609375,0.5
date_understanding,0.6937518715858461,0.47297297297297203,0.47297297297297203,1.0,0.642201834862385,0.463003663003662,0.25030230036051704,0.008477158919973,0.007444398369536,0.24926953981008002,0.5,0.47297297297297203,1.258,58.825,7.949,74.0,0.5270270270270271,0.0,0.0,0.0,0.5,0.24926953981008002,0.0,0.0,0.24926953981008002,0.5,0.581081081081081,0.532258064516129,0.9428571428571421,0.6804123711340201,0.6886446886446881,0.298465110941945,0.107065307777436,0.057869736645571004,0.24926953981008002,0.5996336996336991,0.581081081081081,0.833333333333333,0.14285714285714202,0.24390243902439002,0.742124542124542,0.31478633534864503,0.129841775404085,0.06432497986552001,0.24926953981008002,0.5586080586080581
disfl_qa,0.44590193033218306,0.921951219512195,0.0,0.0,0.0,0.561177248677248,0.131191935628989,0.061989933602987005,0.002755166326169,0.071957168352171,0.5,0.078048780487804,3.4631,59.196,7.508,205.0,0.921951219512195,0.0,0.0,0.0,0.5,0.071957168352171,0.0,0.0,0.071957168352171,0.5,0.078048780487804,0.078048780487804,1.0,0.144796380090497,0.5,0.921951219512195,0.849994051160023,0.0,0.071957168352171,0.5,0.951219512195121,0.75,0.5625,0.642857142857142,0.9867724867724861,0.030347686133472003,0.011574589311595001,0.053184071530294,0.071957168352171,0.7733134920634921
dyck_languages,0.45963111519813504,0.8250000000000001,0.0,0.0,0.0,0.5738528138528131,0.143104179549638,0.005286581205953001,0.006557401656314001,0.144375,0.5,0.17500000000000002,3.333,60.005,7.501,200.0,0.8250000000000001,0.0,0.0,0.0,0.5,0.144375,0.0,0.0,0.144375,0.5,0.5,0.207207207207207,0.657142857142857,0.315068493150684,0.63030303030303,0.317350454561171,0.182047373168396,0.009071918607225001,0.144375,0.561904761904761,0.785,0.16666666666666602,0.057142857142857,0.085106382978723,0.41385281385281303,0.18895739322308003,0.049170159180527,0.004587765957446001,0.144375,0.498268398268398
emoji_movie,0.6924806833267211,0.65,1.0,0.066666666666666,0.125,0.506666666666666,0.24966673667699502,0.03469347464491,0.019401737967914,0.234375,0.533333333333333,0.375,0.687,58.224,7.2780000000000005,40.0,0.625,0.0,0.0,0.0,0.5,0.234375,0.0,0.0,0.234375,0.5,0.425,0.375,0.8,0.51063829787234,0.5133333333333331,0.45141180941611003,0.223527194031495,0.006490384615384001,0.234375,0.5,0.65,0.5263157894736841,0.6666666666666661,0.5882352941176471,0.76,0.20251678796784803,0.048766787967848,0.080625,0.234375,0.6533333333333331
emojis_emotion_prediction,0.6917095780372621,0.75,0.0,0.0,0.0,1.0,0.24928121400118103,0.24928121400118103,0.1875,0.1875,0.5,0.25,0.0993,40.283,10.071,4.0,0.75,0.0,0.0,0.0,0.5,0.1875,0.0,0.0,0.1875,0.5,0.5,0.33333333333333304,1.0,0.5,0.6666666666666661,0.35271568419015303,0.227715684190153,0.0625,0.1875,0.6666666666666661,0.5,0.33333333333333304,1.0,0.5,0.6666666666666661,0.349462070674857,0.22446207067485702,0.0625,0.1875,0.6666666666666661
empirical_judgments,0.693189740180969,0.5,0.0,0.0,0.0,0.45,0.250021256159615,0.028146256159615003,0.028125,0.25,0.5,0.5,0.3632,55.061,8.259,20.0,0.5,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.25,0.5,0.65,0.6000000000000001,0.9,0.7200000000000001,0.71,0.255203690663705,0.081275119235134,0.07607142857142801,0.25,0.65,0.7000000000000001,0.642857142857142,0.9,0.75,0.72,0.243349578843424,0.07192100741485201,0.078571428571428,0.25,0.7000000000000001
