task,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_task_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,instance_count,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy
abstract_narrative_understanding,0.728187024593353,0.5804878048780481,0.45945945945945904,0.425,0.44155844155844104,0.5881500000000001,0.255533432498866,0.029607353385155,0.012027519934474,0.23795359904818503,0.5525,0.390243902439024,3.5386,57.932,3.674,205.0,0.609756097560975,0.0,0.0,0.0,0.5,0.23795359904818503,0.0,0.0,0.23795359904818503,0.5,0.48780487804878003,0.430167597765363,0.9625,0.5945945945945941,0.7529,0.37535172974109804,0.19897767420672602,0.06157954351381201,0.23795359904818503,0.57325,0.609756097560975,0.5,0.0125,0.024390243902439,0.5118,0.37717104390451606,0.15151298728658502,0.012295542430254,0.23795359904818503,0.5022500000000001
analogical_similarity,0.42932739853858903,0.846153846153846,0.0,0.0,0.0,0.55,0.130178637708407,1.122915507856259e-06,-2.775557561562891e-17,0.13017751479289902,0.5,0.15384615384615302,1.1969,54.305,4.177,65.0,0.846153846153846,0.0,0.0,0.0,0.5,0.13017751479289902,0.0,0.0,0.13017751479289902,0.5,0.4,0.19148936170212702,0.9,0.31578947368421,0.5527272727272721,0.40667430630941503,0.286511136146245,0.010014344629729001,0.13017751479289902,0.604545454545454,0.846153846153846,0.0,0.0,0.0,0.43090909090909,0.15244898022314102,0.036091774210762005,0.013820308780520001,0.13017751479289902,0.5
auto_categorization,0.261682748794555,0.893939393939393,0.0,0.0,0.0,0.7770491803278681,0.077210523696361,0.016183587669425,0.008991429445974001,0.07001836547291,0.48360655737704905,0.07575757575757501,1.1807,55.9,4.235,66.0,0.9242424242424241,0.0,0.0,0.0,0.5,0.07001836547291,0.0,0.0,0.07001836547291,0.5,0.13636363636363602,0.08064516129032201,1.0,0.149253731343283,0.586885245901639,0.7979176706016321,0.7293070359532621,0.0014077308245400001,0.07001836547291,0.532786885245901,0.9242424242424241,0.0,0.0,0.0,0.9639344262295081,0.063729311299176,0.035951533521398,0.042240587695133,0.07001836547291,0.5
cause_and_effect,0.52662706375122,0.7419354838709671,0.777777777777777,0.9130434782608691,0.84,0.646739130434782,0.181280764072133,0.027670933042947002,0.037857390614934004,0.19146722164412003,0.581521739130434,0.7419354838709671,0.5654,54.832,3.5380000000000003,31.0,0.7419354838709671,0.7419354838709671,1.0,0.8518518518518511,0.5,0.19146722164412003,0.0,0.0,0.19146722164412003,0.5,0.7419354838709671,0.7419354838709671,1.0,0.8518518518518511,0.690217391304347,0.19449034563380602,0.049860781649403,0.046837657659718,0.19146722164412003,0.5,0.25806451612903203,0.0,0.0,0.0,0.375,0.589341546955051,0.39848133190128804,0.000607006590357,0.19146722164412003,0.5
chess_state_tracking,0.67606097459793,0.5882352941176471,0.5523809523809521,0.610526315789473,0.5800000000000001,0.633703524867213,0.24167198175796803,0.017992262406944,0.025142848891959002,0.24882256824298302,0.5896668276195071,0.46568627450980304,3.5246,57.878,3.688,204.0,0.5343137254901961,0.0,0.0,0.0,0.5,0.24882256824298302,0.0,0.0,0.24882256824298302,0.5,0.44607843137254904,0.381578947368421,0.305263157894736,0.33918128654970703,0.380444229840656,0.324302135567589,0.075593512333349,0.00011394500874300001,0.24882256824298302,0.43703524867213905,0.5343137254901961,0.0,0.0,0.0,0.631772090777402,0.465654516286479,0.245561976065262,0.028730028021766003,0.24882256824298302,0.5
common_morpheme,0.7176495790481561,0.4,0.2,0.33333333333333304,0.25,0.47619047619047605,0.263034001640822,0.11303400164082202,0.059999999999999006,0.20999999999999902,0.38095238095238004,0.30000000000000004,0.21780000000000002,45.914,4.591,10.0,0.7000000000000001,0.0,0.0,0.0,0.5,0.20999999999999902,0.0,0.0,0.20999999999999902,0.5,0.30000000000000004,0.30000000000000004,1.0,0.461538461538461,0.5714285714285711,0.45716127082734603,0.28716127082734605,0.039999999999999,0.20999999999999902,0.5,0.7000000000000001,0.0,0.0,0.0,0.0,0.299790360697059,0.08979036069705901,0.0,0.20999999999999902,0.5
conceptual_combinations,0.5046898722648621,0.7142857142857141,0.5,0.16666666666666602,0.25,0.8777777777777771,0.16394939651970802,0.064743047313358,0.10487528344671201,0.204081632653061,0.55,0.28571428571428503,0.4141,50.715,4.83,21.0,0.7142857142857141,0.0,0.0,0.0,0.5,0.204081632653061,0.0,0.0,0.204081632653061,0.5,0.7619047619047611,0.555555555555555,0.833333333333333,0.6666666666666661,0.8888888888888881,0.20608572783471502,0.112434934183921,0.11043083900226701,0.204081632653061,0.7833333333333331,0.7142857142857141,0.0,0.0,0.0,0.9,0.18051204080136202,0.137654897944219,0.16122448979591802,0.204081632653061,0.5
crash_blossom,1.204146981239318,0.125,0.125,1.0,0.22222222222222202,0.14285714285714202,0.47256429734289,0.36542144020003303,0.002232142857142,0.109375,0.5,0.125,0.18810000000000002,42.536,5.317,8.0,0.875,0.0,0.0,0.0,0.5,0.109375,0.0,0.0,0.109375,0.5,0.75,0.0,0.0,0.0,0.42857142857142805,0.180871224552505,0.080871224552505,0.009374999999999,0.109375,0.42857142857142805,0.875,0.0,0.0,0.0,0.14285714285714202,0.114881631623823,0.007738774480965001,0.002232142857142,0.109375,0.5
cryobiology_spanish,0.7583702802658081,0.689655172413793,0.636363636363636,0.9333333333333331,0.756756756756756,0.609523809523809,0.268785387283806,0.07371149565819,0.05462884321386,0.24970273483947603,0.6809523809523811,0.5172413793103441,0.5346000000000001,54.25,3.741,29.0,0.5172413793103441,0.5172413793103441,1.0,0.6818181818181811,0.5,0.24970273483947603,0.0,0.0,0.24970273483947603,0.5,0.5172413793103441,0.5172413793103441,1.0,0.6818181818181811,0.39523809523809506,0.384194064492727,0.13689347236454802,0.002402142711298,0.24970273483947603,0.5,0.5172413793103441,1.0,0.066666666666666,0.125,0.638095238095238,0.397429602291194,0.197638588707076,0.049911721255359004,0.24970273483947603,0.533333333333333
cs_algorithms,0.203196287155151,0.9698795180722891,0.9772727272727271,0.914893617021276,0.945054945054945,0.9429644198104771,0.043322424713017005,0.014522158713956,0.17416823450899502,0.202968500508056,0.9532451278383691,0.283132530120481,2.8641,57.958,3.841,166.0,0.7168674698795181,0.0,0.0,0.0,0.5,0.202968500508056,0.0,0.0,0.202968500508056,0.5,0.6144578313253011,0.41904761904761906,0.936170212765957,0.5789473684210521,0.8444484176649381,0.259845021206411,0.13579305888140802,0.07891653818305301,0.202968500508056,0.7117825853745751,0.7168674698795181,0.0,0.0,0.0,0.42642588950473803,0.275677743759916,0.08300790473997001,0.010298661488111,0.202968500508056,0.5
date_understanding,0.52760636806488,0.756756756756756,0.7674418604651161,0.8048780487804871,0.785714285714285,0.818920916481892,0.17698915235724302,0.022680173355109003,0.092769180238187,0.24707815924032103,0.7509238728750921,0.5540540540540541,1.3089,56.535,3.8200000000000003,74.0,0.5540540540540541,0.5540540540540541,1.0,0.713043478260869,0.5,0.24707815924032103,0.0,0.0,0.24707815924032103,0.5,0.608108108108108,0.6000000000000001,0.8780487804878041,0.7128712871287131,0.62010347376201,0.27803278644038504,0.051713610121208,0.020758982921145003,0.24707815924032103,0.5753880266075381,0.44594594594594505,0.0,0.0,0.0,0.60310421286031,0.535847602710075,0.321945063807536,0.033175620337782,0.24707815924032103,0.5
