task,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_task_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,instance_count,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy
abstract_narrative_understanding,0.700318992137908,0.5951219512195121,0.0,0.0,0.0,0.5281453683586801,0.251776502639253,0.01677352019955,0.005948831956489001,0.240951814396192,0.5,0.40487804878048705,3.4981,58.603,3.716,205.0,0.5951219512195121,0.0,0.0,0.0,0.5,0.240951814396192,0.0,0.0,0.240951814396192,0.5,0.48292682926829206,0.43850267379679103,0.9879518072289151,0.6074074074074071,0.708917637764171,0.40155403806608103,0.20421202809135902,0.043609804421471006,0.240951814396192,0.5636480347619981,0.663414634146341,0.9375,0.180722891566265,0.30303030303030304,0.633122654552636,0.315577926016508,0.110587225659954,0.035961114039638004,0.240951814396192,0.586263085127394
auto_categorization,0.42555999755859303,0.833333333333333,0.6666666666666661,0.16666666666666602,0.266666666666666,0.7515432098765431,0.132096400298605,0.020985289187494,0.037649219467401004,0.148760330578512,0.5740740740740741,0.18181818181818102,1.1606,56.868,4.308,66.0,0.818181818181818,0.0,0.0,0.0,0.5,0.148760330578512,0.0,0.0,0.148760330578512,0.5,0.19696969696969602,0.18461538461538402,1.0,0.311688311688311,0.648148148148148,0.755632179347913,0.6174503611660951,0.010578512396694,0.148760330578512,0.5092592592592591,0.893939393939393,1.0,0.416666666666666,0.5882352941176471,0.959876543209876,0.08042079230877201,0.038462750350730004,0.10680228862047,0.148760330578512,0.708333333333333
bbq_lite_json,0.635361909866333,0.7079207920792071,0.7079207920792071,1.0,0.8289855072463761,0.6113547469479671,0.20868759853420701,0.016602961163301,0.014684306850249,0.20676894422115402,0.5,0.7079207920792071,3.4367,58.777,3.783,202.0,0.7079207920792071,0.7079207920792071,1.0,0.8289855072463761,0.5,0.20676894422115402,0.0,0.0,0.20676894422115402,0.5,0.7227722772277221,0.727748691099476,0.9720279720279721,0.832335329341317,0.7860613962308871,0.17061769577756,0.022392972586889003,0.058544221030483005,0.20676894422115402,0.5453360199122911,0.7227722772277221,0.7636363636363631,0.881118881118881,0.818181818181818,0.7254948441389111,0.18251856189215002,0.01334190233209,0.037592284661095,0.20676894422115402,0.6100509659831691
cause_and_effect,0.516742348670959,0.7096774193548381,0.7096774193548381,1.0,0.8301886792452831,0.6666666666666661,0.176786002389474,0.013014290230665,0.042263667653885006,0.206035379812695,0.5,0.7096774193548381,0.5607,55.285,3.567,31.0,0.7096774193548381,0.7096774193548381,1.0,0.8301886792452831,0.5,0.206035379812695,0.0,0.0,0.206035379812695,0.5,0.7096774193548381,0.7096774193548381,1.0,0.8301886792452831,0.6868686868686861,0.21057579451603903,0.042006460624124005,0.037466045920780004,0.206035379812695,0.5,0.35483870967741904,0.55,0.5,0.5238095238095231,0.30303030303030304,0.524446118905974,0.318976273183673,0.000565534090394,0.206035379812695,0.25
chess_state_tracking,0.32169193029403603,0.887254901960784,0.0,0.0,0.0,0.8049483545520051,0.09278350791176901,0.014406990638193002,0.021657123633767,0.10003364090734301,0.5,0.11274509803921501,3.4884,58.48,3.727,204.0,0.887254901960784,0.0,0.0,0.0,0.5,0.10003364090734301,0.0,0.0,0.10003364090734301,0.5,0.519607843137254,0.135922330097087,0.6086956521739131,0.22222222222222202,0.617823684842661,0.312048122623705,0.217462536310178,0.0054480545938150006,0.10003364090734301,0.558491472495796,0.887254901960784,0.0,0.0,0.0,0.560413163583953,0.11273939292296001,0.018361735977829002,0.005655983962212,0.10003364090734301,0.5
codenames,0.48329994082450806,0.8235294117647051,0.0,0.0,0.0,0.5,0.14925416437351802,0.023585713741321002,0.019660269090986,0.145328719723183,0.5,0.17647058823529402,0.35150000000000003,48.362,5.69,17.0,0.8235294117647051,0.0,0.0,0.0,0.5,0.145328719723183,0.0,0.0,0.145328719723183,0.5,0.17647058823529402,0.17647058823529402,1.0,0.30000000000000004,0.5,0.8235294117647051,0.678200692041522,0.0,0.145328719723183,0.5,0.8235294117647051,0.0,0.0,0.0,1.0,0.118670139461511,0.118670139461511,0.145328719723183,0.145328719723183,0.5
common_morpheme,0.473401874303817,0.9,0.0,0.0,0.0,0.33333333333333304,0.144995730812946,0.059281445098660006,0.0042857142857140006,0.09000000000000001,0.5,0.1,0.21730000000000002,46.015,4.602,10.0,0.9,0.0,0.0,0.0,0.5,0.09000000000000001,0.0,0.0,0.09000000000000001,0.5,0.1,0.1,1.0,0.18181818181818102,0.6666666666666661,0.726388227930822,0.6513882279308221,0.015000000000000001,0.09000000000000001,0.5,0.1,0.1,1.0,0.18181818181818102,0.6666666666666661,0.724928484700441,0.6499284847004411,0.015000000000000001,0.09000000000000001,0.5
conceptual_combinations,0.760092496871948,0.5238095238095231,0.0,0.0,0.0,0.33636363636363603,0.279353763611836,0.04363947789755,0.013718820861677,0.24943310657596302,0.5,0.47619047619047605,0.4116,51.02,4.859,21.0,0.5238095238095231,0.0,0.0,0.0,0.5,0.24943310657596302,0.0,0.0,0.24943310657596302,0.5,0.42857142857142805,0.44444444444444403,0.8,0.5714285714285711,0.581818181818181,0.33139397548389504,0.12050962174239802,0.038548752834467,0.24943310657596302,0.44545454545454505,0.47619047619047605,0.47058823529411703,0.8,0.592592592592592,0.5727272727272721,0.323744220118646,0.10945850583293101,0.035147392290249005,0.24943310657596302,0.49090909090909
crash_blossom,0.6448984742164611,0.625,0.6000000000000001,0.75,0.6666666666666661,0.75,0.226130664914752,0.080297327856128,0.10416666294137601,0.25,0.625,0.5,0.1874,42.698,5.337,8.0,0.5,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.25,0.5,0.625,0.5714285714285711,1.0,0.7272727272727271,0.375,0.317330804434156,0.103045090148441,0.035714285714285005,0.25,0.625,0.625,0.5714285714285711,1.0,0.7272727272727271,0.375,0.30031147332538605,0.08602575903967201,0.035714285714285005,0.25,0.625
cryobiology_spanish,0.625368773937225,0.758620689655172,0.76,0.9500000000000001,0.8444444444444441,0.672222222222222,0.21717957066325203,0.046339395512732,0.043190740426174004,0.21403091557669401,0.641666666666666,0.689655172413793,0.5324,54.467,3.7560000000000002,29.0,0.689655172413793,0.689655172413793,1.0,0.816326530612244,0.5,0.21403091557669401,0.0,0.0,0.21403091557669401,0.5,0.689655172413793,0.689655172413793,1.0,0.816326530612244,0.5,0.27203388859000605,0.07827362586422601,0.020270652850914003,0.21403091557669401,0.5,0.689655172413793,0.72,0.9,0.799999999999999,0.42222222222222205,0.26817746769133805,0.06879638899991501,0.01464983688527,0.21403091557669401,0.561111111111111
