task,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_task_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,instance_count,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy
abstract_narrative_understanding,0.624658048152923,0.701219512195121,0.0,0.0,0.0,0.559197870452528,0.21362054098273,0.011807527382202001,0.007697694311429,0.20951070791195703,0.5,0.29878048780487804,13.7089,59.815,7.513,820.0,0.701219512195121,0.0,0.0,0.0,0.579307897071872,0.205389649018441,0.0,0.004121058893515,0.20951070791195703,0.5,0.495121951219512,0.35798319327731004,0.86938775510204,0.507142857142857,0.687080745341615,0.346912133446282,0.164298188044031,0.026896762509705,0.20951070791195703,0.6025199645075421,0.718292682926829,0.9375,0.061224489795918005,0.11494252873563202,0.591183673469387,0.272504285221116,0.077822868601518,0.014829291292359001,0.20951070791195703,0.529742679680567
auto_categorization,0.5184667110443111,0.8484848484848481,0.8,0.093023255813953,0.16666666666666602,0.6477954330211511,0.138703175717624,0.021842617048884003,0.019488729669184003,0.136349288337924,0.544249184468062,0.162878787878787,4.3794,60.282,7.535,264.0,0.837121212121212,0.0,0.0,0.0,0.524308113227401,0.136191460055096,0.0,0.000157828282828,0.136349288337924,0.5,0.17045454545454503,0.16412213740458,1.0,0.28196721311475403,0.5781332210880771,0.7815500881021351,0.649160217170597,0.003959417406387,0.136349288337924,0.504524886877828,0.8712121212121211,1.0,0.20930232558139503,0.34615384615384603,0.9677996422182461,0.079518216609579,0.035819869502141,0.092650941230486,0.136349288337924,0.6046511627906971
bbq_lite_json,0.51004272699356,0.70049504950495,0.7712418300653591,0.822299651567944,0.795952782462057,0.740805265195509,0.172851777790055,0.005590741008237,0.03847246973715,0.20573350651896802,0.612004526638673,0.71039603960396,13.4587,60.035,7.504,808.0,0.71039603960396,0.71039603960396,1.0,0.83068017366136,0.522558742070937,0.20542103715322002,0.0,0.00031246936574800003,0.20573350651896802,0.5,0.7153465346534651,0.7375690607734801,0.9303135888501741,0.8228043143297381,0.736531760922004,0.17792273094566402,0.0056501532795690005,0.033460928852873,0.20573350651896802,0.5591738884421811,0.642326732673267,0.7878787878787871,0.679442508710801,0.7296538821328341,0.6688108639328151,0.21742950607357503,0.029944063848770002,0.018248064294163,0.20573350651896802,0.615362279996426
cause_and_effect,0.611583054065704,0.6209677419354831,0.7176470588235291,0.726190476190476,0.72189349112426,0.6282738095238091,0.213651920381071,0.017695378882035002,0.022565831029579,0.218522372528616,0.5630952380952381,0.6774193548387091,2.0827,59.538,7.682,124.0,0.6774193548387091,0.6774193548387091,1.0,0.807692307692307,0.555357142857142,0.21540062434963503,0.0,0.0031217481789800002,0.218522372528616,0.5,0.6774193548387091,0.6774193548387091,1.0,0.807692307692307,0.5875,0.250785719076772,0.050823021011607,0.018559674463451,0.218522372528616,0.5,0.37096774193548304,0.544117647058823,0.44047619047619,0.486842105263157,0.348809523809523,0.46987518164275505,0.251749221581311,0.00039641246717200004,0.218522372528616,0.332738095238095
chess_state_tracking,0.347223252058029,0.8615196078431371,0.0,0.0,0.0,0.798851949294427,0.10542738432104101,0.008272001395998001,0.022148190219900003,0.11930357314494401,0.5,0.138480392156862,13.6615,59.73,7.466,816.0,0.8615196078431371,0.0,0.0,0.0,0.539804126436636,0.11899870242214501,0.0,0.000304870722798,0.11930357314494401,0.5,0.629901960784313,0.194174757281553,0.530973451327433,0.28436018957345904,0.583101499263585,0.266794642491027,0.150382443337985,0.0028913739919020002,0.11930357314494401,0.5883885748813551,0.8615196078431371,0.0,0.0,0.0,0.7888694469970671,0.138471867298284,0.03781263601844,0.018644341865099,0.11930357314494401,0.5
codenames,0.142639741301536,0.9558823529411761,0.0,0.0,0.0,0.892307692307692,0.037967001999699004,0.006549889700233001,0.010754167977351,0.042171280276816006,0.5,0.044117647058823005,1.1664,58.3,7.716,68.0,0.9558823529411761,0.0,0.0,0.0,0.892307692307692,0.036332179930795,0.0,0.005839100346020001,0.042171280276816006,0.5,0.044117647058823005,0.044117647058823005,1.0,0.084507042253521,0.5,0.9558823529411761,0.913711072664359,0.0,0.042171280276816006,0.5,0.9558823529411761,0.0,0.0,0.0,0.9948717948717941,0.029916219926107,0.022563278749637,0.034818339100346006,0.042171280276816006,0.5
common_morpheme,0.556337773799896,0.8,0.0,0.0,0.0,0.45703125,0.17864915404828302,0.023093597913238003,0.004444443864954,0.16,0.5,0.2,0.6914,57.853,7.232,40.0,0.8,0.0,0.0,0.0,0.6171875,0.155,0.0,0.005,0.16,0.5,0.30000000000000004,0.1875,0.75,0.30000000000000004,0.4296875,0.48259954748035705,0.32509038997120004,0.0024908424908420003,0.16,0.46875000000000006,0.525,0.210526315789473,0.5,0.296296296296296,0.53125,0.352335167089164,0.20087683375583001,0.008541666666666,0.16,0.515625
conceptual_combinations,0.59293532371521,0.726190476190476,0.0,0.0,0.0,0.509622238061297,0.19977815664404602,0.016184406644046002,0.015244118480725,0.19883786848072502,0.5,0.273809523809523,1.4328,58.628,7.677,84.0,0.726190476190476,0.0,0.0,0.0,0.672131147540983,0.182539682539682,0.0,0.016298185941043,0.19883786848072502,0.5,0.47619047619047605,0.31578947368421,0.7826086956521741,0.45,0.538132573057733,0.36090459512286804,0.17052739102615203,0.008460664384009001,0.19883786848072502,0.571632216678546,0.535714285714285,0.28947368421052605,0.478260869565217,0.36065573770491804,0.5666429080541691,0.28944648545996005,0.115879050100071,0.025270433120837002,0.19883786848072502,0.517818959372772
crash_blossom,0.630293190479278,0.625,0.6000000000000001,0.23076923076923,0.33333333333333304,0.6639676113360321,0.22057938368919103,0.024225217022524,0.044856770833333004,0.2412109375,0.5627530364372471,0.40625000000000006,0.5594,57.207,7.151,32.0,0.59375,0.0,0.0,0.0,0.548582995951417,0.23828125,0.0,0.0029296875,0.2412109375,0.5,0.6875,0.5714285714285711,0.923076923076923,0.7058823529411761,0.643724696356275,0.26368053953048903,0.08213292048287,0.05966331845238,0.2412109375,0.724696356275303,0.625,0.5263157894736841,0.769230769230769,0.625,0.6477732793522261,0.23949959523505002,0.05395272023505,0.0556640625,0.2412109375,0.6477732793522261
cryobiology_spanish,0.6860747933387751,0.543103448275862,0.7272727272727271,0.35294117647058804,0.47524752475247506,0.621936274509803,0.24800583515798202,0.04238028254967,0.036942818378608,0.24256837098692002,0.582720588235294,0.5862068965517241,1.9574,59.262,7.663,116.0,0.612068965517241,0.632183908045977,0.808823529411764,0.7096774193548381,0.606617647058823,0.233650416171224,0.0,0.008917954815695,0.24256837098692002,0.571078431372549,0.5862068965517241,0.5862068965517241,1.0,0.7391304347826081,0.578431372549019,0.287180646455724,0.065087577553017,0.020475302084213002,0.24256837098692002,0.5,0.6810344827586201,0.7384615384615381,0.7058823529411761,0.721804511278195,0.708333333333333,0.22035250713126503,0.022683078858389,0.044898942714043,0.24256837098692002,0.675857843137254
