task,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_task_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,instance_count,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy
abstract_narrative_understanding,0.642663419246673,0.663414634146341,0.0,0.0,0.0,0.505221653878942,0.22498656400810302,0.003432111234138,0.001741204572852,0.22329565734681703,0.5,0.336585365853658,3.7418,54.786,6.948,205.0,0.663414634146341,0.0,0.0,0.0,0.5,0.22329565734681703,0.0,0.0,0.22329565734681703,0.5,0.45365853658536504,0.372781065088757,0.9130434782608691,0.529411764705882,0.700873827791986,0.3883044803042,0.20252210064966,0.037513277692277004,0.22329565734681703,0.566815856777493,0.663414634146341,0.0,0.0,0.0,0.576300085251491,0.32735686657720303,0.125523390106549,0.021462180876162,0.22329565734681703,0.5
anachronisms,0.756723642349243,0.43478260869565205,0.5,0.769230769230769,0.6060606060606061,0.269230769230769,0.28038131493831003,0.034634623066854005,-3.885780586188048e-16,0.245746691871455,0.384615384615384,0.565217391304347,0.8735,52.66,6.869,46.0,0.565217391304347,0.565217391304347,1.0,0.7222222222222221,0.5,0.245746691871455,0.0,0.0,0.245746691871455,0.5,0.565217391304347,0.565217391304347,1.0,0.7222222222222221,0.48846153846153806,0.333585543617749,0.098901749151346,0.011062897405052001,0.245746691871455,0.5,0.43478260869565205,0.0,0.0,0.0,0.6769230769230771,0.526722833619728,0.32217194972101804,0.041195807972745004,0.245746691871455,0.5
analogical_similarity,0.596618235111236,0.7384615384615381,0.0,0.0,0.0,0.5,0.20024937666529202,0.007113281990735001,-1.6653345369377338e-16,0.193136094674556,0.5,0.261538461538461,1.2491,52.036,7.205,65.0,0.7384615384615381,0.0,0.0,0.0,0.5,0.193136094674556,0.0,0.0,0.193136094674556,0.5,0.446153846153846,0.306122448979591,0.8823529411764701,0.45454545454545403,0.622549019607843,0.33753161548409505,0.16877231027317702,0.024376789463638002,0.193136094674556,0.5870098039215681,0.7384615384615381,0.0,0.0,0.0,0.531862745098039,0.25907440854803804,0.094253895727525,0.028315581854043002,0.193136094674556,0.5
analytic_entailment,0.6896926760673521,0.5714285714285711,0.33333333333333304,0.2,0.25,0.42222222222222205,0.24855731204835602,0.031024844515888002,0.012059369202226,0.22959183673469302,0.48888888888888804,0.35714285714285704,0.2997,46.714,6.673,14.0,0.642857142857142,0.0,0.0,0.0,0.5,0.22959183673469302,0.0,0.0,0.22959183673469302,0.5,0.35714285714285704,0.35714285714285704,1.0,0.5263157894736841,0.5777777777777771,0.6427428495241351,0.449885706666992,0.036734693877550004,0.22959183673469302,0.5,0.642857142857142,0.0,0.0,0.0,0.2,0.34586050540769503,0.11626866867300101,0.0,0.22959183673469302,0.5
arithmetic,0.362401455640792,0.8790931989924431,0.0,0.0,0.0,0.69314111747851,0.10478988321243801,0.006382842187621001,0.007881305452858001,0.106288346477675,0.5,0.120906801007556,7.1717,55.357,6.9719999999999995,397.0,0.8790931989924431,0.0,0.0,0.0,0.5,0.106288346477675,0.0,0.0,0.106288346477675,0.5,0.36020151133501205,0.048245614035087,0.22916666666666602,0.079710144927536,0.244388729703915,0.593124147424896,0.486872716236437,3.691528921687115e-05,0.106288346477675,0.303695081184336,0.8790931989924431,0.0,0.0,0.0,0.693558978032473,0.10573607136238301,0.006593929725145001,0.007146204840437,0.106288346477675,0.5
authorship_verification,0.6983258724212641,0.5511363636363631,0.5449101796407181,0.9680851063829781,0.697318007662835,0.424753502854177,0.252495847306818,0.008705262891233,0.00504722550177,0.24883780991735502,0.520627919045147,0.5340909090909091,3.2592,54.0,6.75,176.0,0.5340909090909091,0.5340909090909091,1.0,0.6962962962962961,0.5,0.24883780991735502,0.0,0.0,0.24883780991735502,0.5,0.5340909090909091,0.5340909090909091,1.0,0.6962962962962961,0.5,0.46590909090909005,0.217071280991735,0.0,0.24883780991735502,0.5,0.46590909090909005,0.0,0.0,0.0,0.5,0.5340909090909091,0.285253099173553,0.0,0.24883780991735502,0.5
bbq_lite_json,0.360600918531417,0.8168316831683161,0.647727272727272,0.9047619047619041,0.7549668874172181,0.883179170948955,0.12078809060652301,0.00594176033959,0.099764982349477,0.21461131261641,0.8408701610140451,0.31188118811881105,3.6984,54.618,7.03,202.0,0.6881188118811881,0.0,0.0,0.0,0.5,0.21461131261641,0.0,0.0,0.21461131261641,0.5,0.346534653465346,0.32124352331606204,0.9841269841269841,0.484375,0.554984583761562,0.36637256151235403,0.16214846263187702,0.010387213735933001,0.21461131261641,0.520840470480758,0.653465346534653,0.425531914893617,0.317460317460317,0.36363636363636304,0.5805641201324651,0.230073433297337,0.027683092222413,0.012220971541486,0.21461131261641,0.5616078565718851
causal_judgment,0.767286300659179,0.39473684210526305,0.35714285714285704,0.6666666666666661,0.46511627906976705,0.359420289855072,0.286336715272767,0.06187851093840201,0.014461463255662001,0.23891966759002703,0.442028985507246,0.39473684210526305,0.7348,51.714,6.804,38.0,0.6052631578947361,0.0,0.0,0.0,0.5,0.23891966759002703,0.0,0.0,0.23891966759002703,0.5,0.39473684210526305,0.39473684210526305,1.0,0.566037735849056,0.605797101449275,0.273684219569715,0.084936488172256,0.050171936192568004,0.23891966759002703,0.5,0.6052631578947361,0.0,0.0,0.0,0.5855072463768111,0.240911899673545,0.035586085137204,0.033593853053686,0.23891966759002703,0.5
cause_and_effect,0.6945692896842951,0.6129032258064511,0.642857142857142,0.9,0.75,0.5022727272727271,0.24372910097192801,0.031440314489593,0.016639413309548,0.22892819979188303,0.49545454545454504,0.6451612903225801,0.6005,51.626,6.661,31.0,0.6451612903225801,0.6451612903225801,1.0,0.7843137254901961,0.5,0.22892819979188303,0.0,0.0,0.22892819979188303,0.5,0.6451612903225801,0.6451612903225801,1.0,0.7843137254901961,0.677272727272727,0.28192303361743604,0.09920413960821901,0.046209305782666,0.22892819979188303,0.5,0.35483870967741904,0.0,0.0,0.0,0.23636363636363603,0.584975558505269,0.35604735871338505,0.0,0.22892819979188303,0.5
checkmate_in_one,0.004357686266303,1.0,0.0,0.0,0.0,,1.8921672376455613e-05,1.8921672376455613e-05,0.0,0.0,1.0,0.0,3.7855,54.154,6.868,205.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.41951219512195104,0.0,0.0,0.0,,0.39703241191554806,0.39703241191554806,0.0,0.0,0.41951219512195104,1.0,0.0,0.0,0.0,,3.2925694253415033e-09,3.2925694253415033e-09,0.0,0.0,1.0
