,task,bs,mcb,dsc,unc,roc_auc,lm_roc_auc,task_accuracy,accuracy,count,acc_improvement
0,abstract_narrative_understanding,0.21566458425126805,0.01352012417992432,0.0211511972754736,0.22329565734681733,0.6443947144075021,0.7008738277919863,0.33658536585365856,0.6634146341463415,205.0,1.1102230246251565e-16
1,anachronisms,0.2642275556066781,0.018480863735220593,-2.0816681711721685e-15,0.24574669187145542,0.33076923076923076,0.48846153846153845,0.5652173913043478,0.3695652173913043,46.0,-0.19565217391304346
2,analogical_similarity,0.19435948239953998,0.0012233877249835934,-1.6653345369377348e-16,0.19313609467455622,0.5,0.6225490196078431,0.26153846153846155,0.7384615384615385,65.0,0.0
3,analytic_entailment,0.30695141704128853,0.12123713132700273,0.043877551020407995,0.2295918367346938,0.48888888888888893,0.5777777777777777,0.35714285714285715,0.5,14.0,-0.1428571428571428
4,arithmetic,0.08296926139263115,0.008158319383585716,0.0314774044686303,0.10628834647767574,0.8878939828080229,0.24438872970391595,0.12090680100755667,0.8841309823677582,397.0,0.005037783375314908
5,authorship_verification,0.24946849118195225,0.0068793270689116726,0.006248645804314806,0.24883780991735538,0.4918266735858848,0.5,0.5340909090909091,0.5340909090909091,176.0,0.0
6,bbq_lite_json,0.1804823950179442,0.045568006143158424,0.07969692374162432,0.2146113126164101,0.8472079479273724,0.5549845837615621,0.3118811881188119,0.693069306930693,202.0,0.004950495049504955
7,causal_judgment,0.2789495058289311,0.049931013652544015,0.009901175413640606,0.23891966759002767,0.35942028985507246,0.6057971014492753,0.39473684210526316,0.3157894736842105,38.0,-0.2894736842105263
8,cause_and_effect,0.1978809847259786,0.03620663756776002,0.06725385263366482,0.2289281997918834,0.7568181818181818,0.6772727272727272,0.6451612903225806,0.6451612903225806,31.0,0.0
9,checkmate_in_one,5.117541224930281e-06,5.117541224930281e-06,0.0,0.0,,,0.0,1.0,205.0,0.0
10,cifar10_classification,0.07846601718239729,0.0029055343048412507,0.0004894873782440717,0.07604997025580011,0.46589486858573215,0.5766583229036295,0.08292682926829269,0.9170731707317074,205.0,0.0
11,code_line_description,0.1437526113539218,0.07430816690947735,0.0694444444444444,0.13888888888888887,0.75,1.0,0.16666666666666666,0.8333333333333334,12.0,0.0
12,color,0.05268167895566881,0.005965127604948668,0.008393502188839642,0.055110053539559785,0.8009499136442142,0.386873920552677,0.05853658536585366,0.9414634146341463,205.0,0.0
13,common_morpheme,0.2775339498770797,0.05531172765485745,0.027777777777777762,0.25,0.32,0.76,0.5,0.5,10.0,0.0
14,conceptual_combinations,0.23641482825079133,0.0430526364367704,0.05153576736965251,0.24489795918367344,0.6388888888888888,0.7407407407407407,0.42857142857142855,0.5714285714285714,21.0,0.0
15,context_definition_alignment,7.5791009008227e-09,7.5791009008227e-09,0.0,0.0,,,0.0,1.0,4609.0,0.0
16,crash_blossom,0.2553408226158439,0.07676939404441518,0.055803571428571286,0.234375,0.4666666666666667,0.6666666666666666,0.375,0.75,8.0,0.125
17,crass_ai,0.1191080307624928,0.06355247520693724,0.043209876543209874,0.09876543209876543,0.875,0.125,0.1111111111111111,0.8888888888888888,9.0,0.0
18,cryobiology_spanish,0.19400337452471955,0.052015544910115064,0.08393369238301737,0.22592152199762186,0.731578947368421,0.36315789473684207,0.6551724137931034,0.6206896551724138,29.0,-0.03448275862068961
19,cs_algorithms,0.058230253461265015,0.00433474648024524,0.14370211241221578,0.19759761939323556,0.9419651056014693,0.6962350780532598,0.2710843373493976,0.9397590361445783,166.0,0.21084337349397597
20,dark_humor_detection,0.33870377594681966,0.11995377594681966,0.02734375,0.24609375,0.34920634920634924,0.873015873015873,0.4375,0.3125,16.0,-0.25
21,date_understanding,0.2106104613507442,0.04236721810750074,0.06696493791088357,0.23520818115412703,0.7523291925465839,0.6591614906832298,0.6216216216216216,0.7162162162162162,74.0,0.09459459459459463
22,disambiguation_qa,0.23102874461849335,0.08315578424553297,0.08881343015958401,0.2366863905325444,0.778125,0.34687499999999993,0.38461538461538464,0.6153846153846154,52.0,0.0
23,discourse_marker_prediction,0.11609598070862173,0.0044725610523008025,0.004788467762029999,0.11641188741835093,0.5734430082256169,0.5810810810810811,0.13450292397660818,0.8654970760233918,171.0,0.0
24,dyck_languages,0.08263507720045636,0.01117096248712969,0.09151088528667331,0.16297499999999998,0.9412486577695967,0.6873753643196809,0.205,0.89,200.0,0.09499999999999997
25,elementary_math_qa,0.18185257297162544,0.013061162527424508,0.00585295710674108,0.174644367550942,0.5247660979636763,0.6693725921849203,0.22549019607843138,0.7745098039215687,204.0,0.0
26,emoji_movie,0.18970839497960928,0.06693061720183155,0.03722222222222232,0.16000000000000006,0.53125,0.65625,0.2,0.8,20.0,0.0
27,emojis_emotion_prediction,0.16356777772058587,0.16356777772058587,0.0,0.0,,,0.0,1.0,3.0,0.0
28,empirical_judgments,0.24600327900375088,0.06433661233708407,0.05833333333333324,0.24000000000000005,0.6249999999999999,0.7604166666666666,0.4,0.6,20.0,0.0
29,english_proverbs,0.3073985202526431,0.11692232977645226,0.05442176870748264,0.24489795918367346,0.5,0.5833333333333333,0.5714285714285714,0.42857142857142855,7.0,-0.14285714285714285
30,english_russian_proverbs,0.19476663175058784,0.10796107619503229,0.10069444444444445,0.1875,0.7916666666666666,0.35416666666666663,0.25,0.75,16.0,0.0
31,entailed_polarity,0.08346936371363896,0.0334693623890912,0.06555555423100781,0.11555555555555556,0.9230769230769231,0.9326923076923077,0.8666666666666667,0.9,30.0,0.033333333333333326
32,entailed_polarity_hindi,0.2647112848881815,0.04202220925792882,0.022208883553420822,0.24489795918367352,0.47395833333333337,0.46875,0.5714285714285714,0.5714285714285714,28.0,0.0
33,epistemic_reasoning,0.014470586004262556,0.0013540548389509022,0.22141053605658007,0.23452706722189173,0.9925933441558442,0.5136972402597403,0.375609756097561,0.9853658536585366,205.0,0.36097560975609755
34,evaluating_information_essentiality,0.1707366272367307,0.00917200138639046,0.006802721088435243,0.16836734693877548,0.3939393939393939,0.4545454545454545,0.21428571428571427,0.7857142857142857,14.0,0.0
35,fact_checker,0.2433475408270381,0.02480342949504799,0.005661581964612222,0.22420569329660234,0.4954128440366973,0.6276212319790302,0.6606060606060606,0.6484848484848484,165.0,-0.0121212121212122
36,fantasy_reasoning,0.270461653103932,0.07563406689703484,0.015172413793102857,0.21000000000000002,0.46726190476190477,0.7529761904761905,0.7,0.475,40.0,-0.22499999999999998
37,figure_of_speech_detection,0.28049614888737406,0.09867796706919219,0.04040404040404036,0.22222222222222224,0.25,0.8125,0.3333333333333333,0.6666666666666666,12.0,-1.1102230246251565e-16
