,test_loss,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,count
abstract_narrative_understanding,0.5954968929290771,0.7120418848167539,0.0,0.0,0.0,0.5,0.20503823908335841,0.0,0.0,0.20503823908335841,0.5,0.7120418848167539,0.0,0.0,0.0,0.5774064171122995,0.2817804882275291,0.08761269265441127,0.01087044351024058,0.20503823908335841,0.5,0.450261780104712,0.3355263157894737,0.9272727272727272,0.49275362318840576,0.6725935828877004,0.420707869326782,0.23892739058360285,0.023257760340179262,0.20503823908335841,0.5923128342245989,0.7853403141361257,0.6590909090909091,0.5272727272727272,0.5858585858585857,0.7903743315508021,0.16823771108904684,0.028700811699457873,0.06550133969376945,0.20503823908335841,0.7084893048128342,3.1479,60.675,7.624,191
anachronisms,0.17694272100925446,0.5714285714285714,0.0,0.0,0.0,0.5,0.24489795918367344,0.0,0.0,0.24489795918367344,0.5,0.5714285714285714,0.0,0.0,0.0,0.5416666666666666,0.4014551720334887,0.18739621511738885,0.030839002267573606,0.24489795918367344,0.5,0.42857142857142855,0.42857142857142855,1.0,0.6,0.47453703703703703,0.435516078403331,0.20817352848013596,0.017555409260478383,0.24489795918367344,0.5,0.9523809523809523,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9837962962962963,0.0482929395496481,0.027459606216314766,0.2240646258503401,0.24489795918367344,0.9513888888888888,0.6023,69.73,9.961,42
analogical_similarity,0.5621050596237183,0.7735849056603774,0.0,0.0,0.0,0.5,0.17515129939480242,0.0,0.0,0.17515129939480242,0.5,0.7735849056603774,0.0,0.0,0.0,0.2845528455284553,0.22506649554153027,0.05374574082454911,0.0038305446778212626,0.17515129939480242,0.5,0.2830188679245283,0.20454545454545456,0.75,0.3214285714285714,0.4430894308943089,0.4234191442721686,0.26004007051573635,0.011772225638370187,0.17515129939480242,0.4481707317073171,0.7735849056603774,0.0,0.0,0.0,0.4532520325203252,0.18268454003118828,0.007533240636385857,0.0,0.17515129939480242,0.5,0.7671,69.087,9.125,53
analytic_entailment,0.40201300382614136,0.6153846153846154,0.0,0.0,0.0,0.5,0.23668639053254442,0.0,0.0,0.23668639053254442,0.5,0.6153846153846154,0.0,0.0,0.0,0.575,0.3611758141649882,0.17436262735180133,0.04987320371935758,0.23668639053254442,0.5,0.38461538461538464,0.38461538461538464,1.0,0.5555555555555556,0.475,0.6153382641912841,0.41533826419128417,0.036686390532544494,0.23668639053254442,0.5,0.9230769230769231,1.0,0.8,0.888888888888889,0.95,0.07608127389014202,0.024799222608090712,0.1854043392504931,0.23668639053254442,0.9,0.1975,65.826,10.127,13
arithmetic,0.5631418824195862,0.8256410256410256,0.0,0.0,0.0,0.5,0.14395792241946087,0.0,0.0,0.14395792241946087,0.5,0.8256410256410256,0.0,0.0,0.0,0.5080379978078188,0.1533748699407862,0.014022000587916833,0.004605053066591508,0.14395792241946087,0.5,0.7282051282051282,0.2564102564102564,0.29411764705882354,0.273972602739726,0.5495067592254292,0.19991792812365186,0.06149116690013812,0.005531161195947126,0.14395792241946087,0.5569967117281696,0.7282051282051282,0.1935483870967742,0.17647058823529413,0.18461538461538463,0.6408476434051882,0.1811506841173824,0.04644713036119699,0.009254368663275475,0.14395792241946087,0.5105955425648521,2.666,73.143,9.377,195
authorship_verification,0.2419549822807312,0.5121951219512195,0.5121951219512195,1.0,0.6774193548387097,0.5,0.24985127900059484,0.0,0.0,0.24985127900059484,0.5,0.4878048780487805,0.0,0.0,0.0,0.5,0.5121951219512195,0.2623438429506247,0.0,0.24985127900059484,0.5,0.5121951219512195,0.5121951219512195,1.0,0.6774193548387097,0.5,0.4878048780487805,0.23795359904818564,0.0,0.24985127900059484,0.5,0.9024390243902439,0.9473684210526315,0.8571428571428571,0.9,0.9748511904761905,0.07440766062024536,0.025660742109275936,0.20110436048962543,0.24985127900059484,0.9035714285714285,2.3008,71.279,9.127,164
bbq_lite_json,0.36640748381614685,0.7733990147783252,0.0,0.0,0.0,0.5,0.17525297871824122,0.0,0.0,0.17525297871824122,0.5,0.645320197044335,0.25925925925925924,0.30434782608695654,0.27999999999999997,0.5740792024369981,0.2141046284475341,0.04628219902099731,0.007430549291704419,0.17525297871824122,0.5247853780116312,0.24630541871921183,0.22842639593908629,0.9782608695652174,0.37037037037037035,0.5897258377180837,0.3952560558010029,0.23039045499188482,0.010387377909123113,0.17525297871824122,0.5050540016615896,0.7733990147783252,0.5,0.6304347826086957,0.5576923076923076,0.8557186374965384,0.13140451812614465,0.02169304733092972,0.0655415079230263,0.17525297871824122,0.7228607034062586,2.7735,73.193,9.374,203
causal_judgment,0.8456047177314758,0.5161290322580645,0.0,0.0,0.0,0.5,0.24973985431841836,0.0,0.0,0.24973985431841836,0.5,0.5161290322580645,0.0,0.0,0.0,0.6541666666666668,0.2621499337935363,0.07935423486880516,0.06694415539368723,0.24973985431841836,0.5,0.4838709677419355,0.4838709677419355,1.0,0.6521739130434783,0.725,0.24715799004932057,0.08762719826046428,0.09020906252956207,0.24973985431841836,0.5,0.3870967741935484,0.4,0.5333333333333333,0.4571428571428572,0.3625,0.31845852644771216,0.07767511630946317,0.00895644418016936,0.24973985431841836,0.39166666666666666,0.4548,68.159,8.795,31
cause_and_effect,0.8018842935562134,0.696969696969697,0.696969696969697,1.0,0.8214285714285715,0.5,0.21120293847566574,0.0,0.0,0.21120293847566574,0.5,0.30303030303030304,0.0,0.0,0.0,0.42173913043478256,0.5900374074456148,0.3992405499820907,0.020406081012141614,0.21120293847566574,0.5,0.696969696969697,0.696969696969697,1.0,0.8214285714285715,0.7,0.22473704916622758,0.06369808812726654,0.0501639774367047,0.21120293847566574,0.5,0.696969696969697,0.8095238095238095,0.7391304347826086,0.7727272727272727,0.6695652173913044,0.26755920641944303,0.10630379516403166,0.04994752722025436,0.21120293847566574,0.6695652173913043,0.4731,69.754,10.569,33
checkmate_in_one,0.001573201036080718,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.279459508872555e-08,6.279459508872555e-08,0.0,0.0,1.0,0.36619718309859156,0.0,0.0,0.0,0.0,0.4184911684485736,0.4184911684485736,0.0,0.0,0.36619718309859156,1.0,0.0,0.0,0.0,0.0,2.4961749499071376e-06,2.4961749499071376e-06,0.0,0.0,1.0,2.9799,71.479,9.061,213
cifar10_classification,0.36383986473083496,0.8877005347593583,0.0,0.0,0.0,0.5,0.09968829534730761,0.0,0.0,0.09968829534730761,0.5,0.8877005347593583,0.0,0.0,0.0,0.5088927137119907,0.11289697240854084,0.018098722530077063,0.004890045468843834,0.09968829534730761,0.5,0.7112299465240641,0.0975609756097561,0.19047619047619047,0.12903225806451615,0.5375788869764774,0.19084143602559706,0.10124114054294862,0.010087999864659178,0.09968829534730761,0.4837923121055651,0.8877005347593583,0.0,0.0,0.0,0.45553643144004585,0.10183730663070015,0.003277413076649985,0.001128401793257447,0.09968829534730761,0.5,2.628,71.156,9.132,187
code_line_description,0.5248367190361023,0.6363636363636364,0.0,0.0,0.0,0.5,0.23140495867768596,0.0,0.0,0.23140495867768596,0.5,0.6363636363636364,0.0,0.0,0.0,0.6428571428571428,0.3636357822002005,0.20779162635604462,0.07556080283353009,0.23140495867768596,0.5,0.36363636363636365,0.36363636363636365,1.0,0.5333333333333333,0.5,0.4004956582180019,0.19919695691930062,0.030106257378984647,0.23140495867768596,0.5,0.8181818181818182,1.0,0.5,0.6666666666666666,0.8571428571428571,0.15294836578704402,0.046887759726437925,0.12534435261707988,0.23140495867768596,0.75,0.1753,62.75,11.409,11
