,test_loss,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,count
abstract_narrative_understanding,0.7188996076583862,0.6097560975609756,0.0,0.0,0.0,0.5,0.2379535990481856,0.0,0.0,0.2379535990481856,0.5,0.6097560975609756,0.5,0.0125,0.02439024390243903,0.5118,0.37717104390451645,0.1515129872865858,0.012295542430254963,0.2379535990481856,0.50225,0.4878048780487805,0.4301675977653631,0.9625,0.5945945945945946,0.7529000000000001,0.37535172974109876,0.198977674206726,0.06157954351381284,0.2379535990481856,0.57325,0.6097560975609756,0.0,0.0,0.0,0.48105,0.2584044566515651,0.02477343200906254,0.004322574405683066,0.2379535990481856,0.5,3.361,60.994,7.736,205
anachronisms,0.7890681624412537,0.5217391304347826,0.0,0.0,0.0,0.5,0.24952741020793953,0.0,0.0,0.24952741020793953,0.5,0.5217391304347826,0.0,0.0,0.0,0.5909090909090909,0.44542932484592573,0.23686954223723009,0.04096762759924388,0.24952741020793953,0.5,0.4782608695652174,0.4782608695652174,1.0,0.6470588235294118,0.4981060606060606,0.39707514940580657,0.16033480109256823,0.01278706189470119,0.24952741020793953,0.5,0.2826086956521739,0.28,0.3181818181818182,0.29787234042553196,0.16666666666666666,0.29666178306946417,0.04713437286152464,0.0,0.24952741020793953,0.28409090909090906,0.637,72.211,9.419,46
analogical_similarity,0.429574191570282,0.8461538461538461,0.0,0.0,0.0,0.5,0.1301775147928994,0.0,0.0,0.1301775147928994,0.5,0.8461538461538461,0.0,0.0,0.0,0.4309090909090909,0.15244898022314138,0.03609177421076297,0.013820308780520998,0.1301775147928994,0.5,0.4,0.19148936170212766,0.9,0.3157894736842105,0.5527272727272727,0.40667430630941565,0.28651113614624546,0.01001434462972925,0.1301775147928994,0.6045454545454545,0.8461538461538461,0.0,0.0,0.0,0.45,0.1302410463617848,6.353156888536104e-05,-2.7755575615628914e-17,0.1301775147928994,0.5,0.9494,68.463,9.479,65
analytic_entailment,0.6399763822555542,0.5,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.25,0.5,0.5,0.0,0.0,0.0,0.36734693877551017,0.4733512872544407,0.2650179539211074,0.041666666666666685,0.25,0.5,0.5,0.5,1.0,0.6666666666666666,0.5306122448979591,0.49987230736258276,0.2917090420564603,0.04183673469387755,0.25,0.5,0.7142857142857143,1.0,0.42857142857142855,0.6,0.5510204081632653,0.21624880823546924,0.03767737966404061,0.07142857142857137,0.25,0.7142857142857143,0.2259,61.965,8.852,14
arithmetic,0.5245768427848816,0.8232323232323232,0.0,0.0,0.0,0.5,0.14552086521783492,0.0,0.0,0.14552086521783492,0.5,0.8232323232323232,0.0,0.0,0.0,0.5554776511831727,0.15506278854978758,0.013672649809959275,0.004130726478006608,0.14552086521783492,0.5,0.7373737373737373,0.2926829268292683,0.34285714285714286,0.31578947368421056,0.581945661700263,0.20196592993429618,0.06243160289996913,0.005986538183507861,0.14552086521783492,0.5824715162138475,0.7929292929292929,0.2,0.05714285714285714,0.08888888888888888,0.516564417177914,0.1686830569683579,0.028371607295041346,0.00520941554451837,0.14552086521783492,0.504031551270815,2.7341,72.417,9.144,198
authorship_verification,0.7014976739883423,0.5227272727272727,0.0,0.0,0.0,0.5,0.24948347107438015,0.0,0.0,0.24948347107438015,0.5,0.5227272727272727,0.0,0.0,0.0,0.5,0.4772727272727273,0.22778925619834714,0.0,0.24948347107438015,0.5,0.4772727272727273,0.4772727272727273,1.0,0.6461538461538462,0.5,0.5227272727272727,0.2732438016528925,0.0,0.24948347107438015,0.5,0.4602272727272727,0.4662576687116564,0.9047619047619048,0.6153846153846154,0.4897774327122153,0.25415615180435397,0.006074098880751638,0.0014014181507778223,0.24948347107438015,0.47955486542443065,2.4656,71.382,8.923,176
bbq_lite_json,0.41863813996315,0.6435643564356436,0.0,0.0,0.0,0.5,0.22938927556121952,0.0,0.0,0.22938927556121952,0.5,0.6039603960396039,0.4166666666666667,0.2777777777777778,0.33333333333333337,0.5190170940170941,0.254268875052054,0.028259559834817927,0.003379960343983468,0.22938927556121952,0.5311965811965812,0.3564356435643564,0.3520408163265306,0.9583333333333334,0.5149253731343284,0.5773504273504273,0.34110807494050854,0.13063782844729502,0.018919029068005994,0.22938927556121952,0.49070512820512824,0.7772277227722773,0.6901408450704225,0.6805555555555556,0.6853146853146853,0.8606837606837607,0.14191554988710461,0.0171952207113297,0.1046689463854446,0.22938927556121952,0.7556623931623931,2.7629,73.111,9.41,202
causal_judgment,0.6884636878967285,0.5789473684210527,0.5789473684210527,1.0,0.7333333333333334,0.5,0.24376731301939056,0.0,0.0,0.24376731301939056,0.5,0.42105263157894735,0.0,0.0,0.0,0.4943181818181818,0.30980333435975604,0.08925195591364068,0.0232159345732752,0.24376731301939056,0.5,0.5789473684210527,0.5789473684210527,1.0,0.7333333333333334,0.5142045454545455,0.24444088887258833,0.024046152030483076,0.023372576177285304,0.24376731301939056,0.5,0.47368421052631576,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.5965909090909092,0.24766395614666206,0.03945593609653619,0.03555929296926469,0.24376731301939056,0.4943181818181818,0.547,69.47,9.141,38
cause_and_effect,0.7417159676551819,0.7419354838709677,0.7419354838709677,1.0,0.8518518518518519,0.5,0.19146722164412075,0.0,0.0,0.19146722164412075,0.5,0.25806451612903225,0.0,0.0,0.0,0.375,0.5893415469550518,0.3984813319012883,0.0006070065903572841,0.19146722164412075,0.5,0.7419354838709677,0.7419354838709677,1.0,0.8518518518518519,0.6902173913043478,0.19449034563380638,0.04986078164940369,0.04683765765971806,0.19146722164412075,0.5,0.6774193548387096,0.782608695652174,0.782608695652174,0.782608695652174,0.6630434782608696,0.2631141671431781,0.10950433611399185,0.03785739061493451,0.19146722164412075,0.5788043478260869,0.4524,68.517,8.841,31
checkmate_in_one,0.08844847232103348,0.9853658536585366,0.0,0.0,0.0,0.5,0.014419988102320048,0.0,0.0,0.014419988102320048,0.5,0.9853658536585366,0.0,0.0,0.0,0.5429042904290429,0.014633212247968054,0.0007462318288680905,0.000533007683220085,0.014419988102320048,0.5,0.4292682926829268,0.01694915254237288,0.6666666666666666,0.03305785123966942,0.7062706270627063,0.39433663891921866,0.38092985034444005,0.0010131995275414057,0.014419988102320048,0.5462046204620462,0.9853658536585366,0.0,0.0,0.0,0.5973597359735974,0.014558111313473,0.00031991048990632175,0.0001817872787533703,0.014419988102320048,0.5,2.8668,71.508,9.069,205
