,test_loss,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,count
abstract_narrative_understanding,0.3789154291152954,0.7726161369193154,0.0,0.0,0.0,0.569165135429427,0.17378407098518672,0.0,0.0018963709060024203,0.17568044189118914,0.5,0.7726161369193154,0.0,0.0,0.0,0.6075694160881993,0.22561012183477488,0.06247556803440954,0.012545888090823798,0.17568044189118914,0.5,0.5134474327628362,0.3,0.8548387096774194,0.44413407821229056,0.7109449435143596,0.33971360129629075,0.18432548110422708,0.020292321699125482,0.17568044189118914,0.6339066966108615,0.8533007334963325,0.6736842105263158,0.6881720430107527,0.6808510638297872,0.873383694024772,0.11143098939339151,0.013660201435052172,0.0779096539328498,0.17568044189118914,0.795035388593984,11.2023,73.021,9.195,818
anachronisms,0.20535783469676971,0.5434782608695652,0.0,0.0,0.0,0.5294642857142857,0.24732546180527543,0.0,0.0007841790264825899,0.24810964083175802,0.5,0.5434782608695652,0.0,0.0,0.0,0.4735714285714286,0.43285908459134786,0.19231049018500027,0.007561046425410417,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.5267857142857142,0.34731913447771295,0.1080335679128166,0.008824074266861659,0.24810964083175802,0.5,0.9184782608695652,0.9058823529411765,0.9166666666666666,0.9112426035502958,0.9776190476190476,0.060856518795563294,0.015096119774294703,0.2023492418104894,0.24810964083175802,0.9183333333333333,2.5437,72.337,9.042,184
analogical_similarity,0.4393594563007355,0.8410852713178295,0.0,0.0,0.0,0.6067213667528379,0.13102812567846306,0.0,0.002632712011579552,0.1336608376900426,0.5,0.8410852713178295,0.0,0.0,0.0,0.41688209508823193,0.15830927914962106,0.02576574943574697,0.001117307976168519,0.1336608376900426,0.5,0.6007751937984496,0.14772727272727273,0.3170731707317073,0.20155038759689922,0.5080364167696977,0.25214326252442637,0.12298156504877542,0.004499140214391656,0.1336608376900426,0.4857255254580196,0.8410852713178295,0.0,0.0,0.0,0.5046082949308756,0.13403309120206142,0.0003722535120187498,-5.551115123125783e-17,0.1336608376900426,0.5,3.5982,71.702,9.171,258
analytic_entailment,0.37561437487602234,0.6428571428571429,0.5625,0.4090909090909091,0.47368421052631576,0.625,0.22572851255886972,0.0,0.012791895604395614,0.23852040816326534,0.6016042780748663,0.6071428571428571,0.0,0.0,0.0,0.570855614973262,0.3872156230030252,0.16963484069010004,0.020939625850340177,0.23852040816326534,0.5,0.39285714285714285,0.39285714285714285,1.0,0.5641025641025641,0.4144385026737968,0.607015893063822,0.36900508590407866,0.0005096010035219867,0.23852040816326534,0.5,0.9285714285714286,1.0,0.8181818181818182,0.9,0.9679144385026738,0.07082305917421186,0.027965916317068996,0.19566326530612246,0.23852040816326534,0.9090909090909092,0.7974,70.228,8.779,56
arithmetic,0.458240270614624,0.8161209068010076,0.0,0.0,0.0,0.5853944698122779,0.14768627554595845,0.0,0.002381296737350269,0.15006757228330872,0.5,0.8161209068010076,0.0,0.0,0.0,0.5854473194655843,0.1675857972360706,0.02230567387729132,0.004787448924529453,0.15006757228330872,0.5,0.7304785894206549,0.22131147540983606,0.18493150684931506,0.20149253731343283,0.49658591239641475,0.2054408435069355,0.05616867322662278,0.000795402002995993,0.15006757228330872,0.519163284288855,0.8047858942065491,0.46017699115044247,0.3561643835616438,0.4015444015444015,0.7400431253170979,0.14189352318275444,0.013699393203521204,0.02187344230407548,0.15006757228330872,0.631014290546254,10.8516,73.169,9.215,794
authorship_verification,0.19298626482486725,0.5184659090909091,0.5184659090909091,1.0,0.6828811973807296,0.5144057865599871,0.249488605727071,0.0,0.00017040447437530193,0.2496590102014463,0.5,0.4815340909090909,0.0,0.0,0.0,0.5,0.5184659090909091,0.26880689888946274,0.0,0.2496590102014463,0.5,0.5184659090909091,0.5184659090909091,1.0,0.6828811973807296,0.5,0.4815340909090909,0.2318750807076446,0.0,0.2496590102014463,0.5,0.9147727272727273,0.9498525073746312,0.8821917808219178,0.9147727272727273,0.9817998141188831,0.060587600694038964,0.014174148485967666,0.203245557993375,0.2496590102014463,0.9160221440982745,9.8623,71.383,8.923,704
bbq_lite_json,0.4004783034324646,0.760545905707196,0.0,0.0,0.0,0.5334209569855209,0.18143657372064598,0.0,0.0006792572985709344,0.1821158310192169,0.5,0.7084367245657568,0.2375,0.09844559585492228,0.1391941391941392,0.49428192276158195,0.20887188535483478,0.02908288641114698,0.0023268320755291116,0.1821158310192169,0.4994674961330076,0.3163771712158809,0.24645892351274787,0.9015544041450777,0.38709677419354843,0.521650931036523,0.3618017595839888,0.18227522122107168,0.0025892926562997853,0.1821158310192169,0.5168457175700919,0.760545905707196,0.5,0.6580310880829016,0.5682326621923937,0.8436720790472407,0.1395612846648679,0.0151515598280388,0.05770610618238782,0.1821158310192169,0.7254266370267689,11.0495,72.944,9.141,806
causal_judgment,0.849571943283081,0.5460526315789473,0.5121951219512195,0.3,0.37837837837837834,0.5475609756097561,0.24662371737423522,0.0,0.0018181108806123725,0.2484418282548476,0.5280487804878049,0.5394736842105263,0.0,0.0,0.0,0.5165505226480835,0.3039881431201474,0.06499925587394195,0.009452941008642163,0.2484418282548476,0.5,0.4605263157894737,0.4605263157894737,1.0,0.6306306306306306,0.5491289198606273,0.275336338034116,0.036590428774752076,0.009695918995483666,0.2484418282548476,0.5,0.35526315789473684,0.3541666666666667,0.4857142857142857,0.40963855421686746,0.33397212543554006,0.31892055008378467,0.07332133244509093,0.0028426106161538456,0.2484418282548476,0.364808362369338,2.1369,71.13,8.891,152
cause_and_effect,0.679824948310852,0.6557377049180327,0.6557377049180327,1.0,0.7920792079207921,0.5427083333333333,0.22450110090041328,0.0,0.0012446663664505142,0.2257457672668638,0.5,0.3442622950819672,0.0,0.0,0.0,0.40208333333333335,0.5991072166654826,0.37670878473390734,0.0033473353352885538,0.2257457672668638,0.5,0.6557377049180327,0.6557377049180327,1.0,0.7920792079207921,0.668154761904762,0.23388107821705134,0.04369303578696454,0.035557724836776994,0.2257457672668638,0.5,0.7049180327868853,0.7619047619047619,0.8,0.7804878048780488,0.7110119047619048,0.2289084715337752,0.046455545702888734,0.043292841435977336,0.2257457672668638,0.661904761904762,1.6936,72.038,9.448,122
checkmate_in_one,0.009138280525803566,0.9987789987789988,0.0,0.0,0.0,0.8710268948655256,0.001215241781279517,0.0,4.268595740017627e-06,0.0012195103770195346,0.5,0.9987789987789988,0.0,0.0,0.0,0.8679706601466992,0.0012209811178762503,1.118174293926054e-05,9.711002082544778e-06,0.0012195103770195346,0.5,0.7777777777777778,0.0,0.0,0.0,0.4193154034229829,0.1746661671434394,0.17344773105105374,1.0742846338622665e-06,0.0012195103770195346,0.3893643031784841,0.9987789987789988,0.0,0.0,0.0,0.9993887530562348,0.0012185348397287742,0.0006080342292281615,0.0006090097665189219,0.0012195103770195346,0.5,11.4931,71.26,8.962,819
