,test_loss,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,count
_total,0.48751917481422424,0.6981305829266047,0.5479951397326853,0.26251455180442373,0.354978354978355,0.7087186304029087,0.1912811714701756,0.0,0.02501705051025499,0.21629822198043058,0.5811427669435698,0.6832120821438438,0.16666666666666666,0.0002910360884749709,0.0005810575246949448,0.47179794434345507,0.30272571800723663,0.08699367118664042,0.0005661751598343701,0.21629822198043058,0.49980872698940787,0.5200294686435215,0.3802265983274885,0.820430733410943,0.5196313364055299,0.6133086651202246,0.3016874464646343,0.09525392435811372,0.009864699873910004,0.21629822198043058,0.6007043873170841,0.7601989133437701,0.7603254067584481,0.35360884749708965,0.4827175208581645,0.8029752529539986,0.1611638425371868,0.003883876531966729,0.059018255975210515,0.21629822198043058,0.6510062289485987,468.7839,23.164,2.897,10859
abstract_narrative_understanding,0.7740557193756104,0.6634146341463415,0.0,0.0,0.0,0.5,0.22329565734681733,0.0,0.0,0.22329565734681733,0.5,0.6634146341463415,0.0,0.0,0.0,0.5763000852514919,0.3273568665772037,0.12552339010654923,0.021462180876162862,0.22329565734681733,0.5,0.45365853658536587,0.3727810650887574,0.9130434782608695,0.5294117647058824,0.7008738277919863,0.3883044803042009,0.20252210064966072,0.037513277692277164,0.22329565734681733,0.5668158567774936,0.6634146341463415,0.0,0.0,0.0,0.539535379369139,0.26474546410077154,0.04946111501667913,0.00801130826272492,0.22329565734681733,0.5,8.0526,25.458,3.229,205
anachronisms,0.649768590927124,0.5434782608695652,0.0,0.0,0.0,0.5,0.24810964083175802,0.0,0.0,0.24810964083175802,0.5,0.5434782608695652,0.0,0.0,0.0,0.6171428571428571,0.4271471051389192,0.2152552831927494,0.03621781888558823,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.49142857142857144,0.4107323636400896,0.19391314167212617,0.031290418863794606,0.24810964083175802,0.5,0.6521739130434783,0.631578947368421,0.5714285714285714,0.6,0.6476190476190475,0.22936563809230479,0.03645830311495038,0.05520230585440361,0.24810964083175802,0.6457142857142857,1.7941,25.64,3.344,46
analogical_similarity,0.6759061813354492,0.7230769230769231,0.0,0.0,0.0,0.5,0.20023668639053252,0.0,0.0,0.20023668639053252,0.5,0.7230769230769231,0.0,0.0,0.0,0.5768321513002365,0.2732990463362617,0.09503192883837497,0.021969568892645813,0.20023668639053252,0.5,0.47692307692307695,0.3333333333333333,0.8888888888888888,0.48484848484848486,0.6430260047281324,0.3413811596193233,0.1614534804608749,0.02030900723208412,0.20023668639053252,0.6040189125295508,0.7230769230769231,0.0,0.0,0.0,0.5,0.22407795607041817,0.023841269679885452,-1.942890293094024e-16,0.20023668639053252,0.5,2.5986,25.014,3.463,65
analytic_entailment,0.40271487832069397,0.6428571428571429,0.0,0.0,0.0,0.5,0.2295918367346938,0.0,0.0,0.2295918367346938,0.5,0.6428571428571429,0.0,0.0,0.0,0.4,0.340333005012738,0.11176157644130938,0.0010204081632651796,0.2295918367346938,0.5,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.5333333333333334,0.6427097710105826,0.44543085944595673,0.032312925170067924,0.2295918367346938,0.5,0.7857142857142857,1.0,0.4,0.5714285714285715,0.9555555555555556,0.12858790997912312,0.08096886236007547,0.18197278911564616,0.2295918367346938,0.7,0.5635,24.843,3.549,14
arithmetic,0.7085406184196472,0.8232323232323232,0.0,0.0,0.0,0.5,0.14552086521783492,0.0,0.0,0.14552086521783492,0.5,0.8232323232323232,0.0,0.0,0.0,0.6652059596844873,0.1500293659520194,0.018900458178617935,0.014391957444433445,0.14552086521783492,0.5,0.7777777777777778,0.3333333333333333,0.2571428571428571,0.2903225806451613,0.6646801051709027,0.17800550720609212,0.04600867924309629,0.013524037254839083,0.14552086521783492,0.5733567046450482,0.8181818181818182,0.45454545454545453,0.14285714285714285,0.21739130434782608,0.505521472392638,0.16769710038997465,0.028755829819916173,0.006579594647776438,0.14552086521783492,0.5530236634531113,7.609,26.022,3.286,198
authorship_verification,0.6907094717025757,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.24987086776859507,0.0,0.0,0.24987086776859507,0.5,0.48863636363636365,0.0,0.0,0.0,0.5,0.5113636363636364,0.2614927685950413,0.0,0.24987086776859507,0.5,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.48863636363636365,0.23876549586776857,0.0,0.24987086776859507,0.5,0.48863636363636365,0.0,0.0,0.0,0.6640180878552971,0.24882874581507244,0.030884974504221147,0.031927096457743775,0.24987086776859507,0.5,6.9871,25.189,3.149,176
bbq_lite_json,0.43544793128967285,0.7524752475247525,0.0,0.0,0.0,0.5,0.18625624938731497,0.0,0.0,0.18625624938731497,0.5,0.6237623762376238,0.26785714285714285,0.3,0.2830188679245283,0.5142105263157895,0.2366216466150098,0.05272090615486341,0.0023555089271685703,0.18625624938731497,0.5151315789473684,0.24257425742574257,0.24120603015075376,0.96,0.38554216867469876,0.5573684210526315,0.41093606625201395,0.23118910437287976,0.006509287508180778,0.18625624938731497,0.4832894736842105,0.7524752475247525,0.5,0.04,0.07407407407407407,0.8297368421052632,0.14953080457954207,0.022955647063790413,0.05968109187156331,0.18625624938731497,0.5134210526315789,7.7999,25.898,3.333,202
causal_judgment,0.76543790102005,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.5,0.24930747922437677,0.0,0.0,0.24930747922437677,0.5,0.47368421052631576,0.0,0.0,0.0,0.5277777777777778,0.28306564886162794,0.06569722780899631,0.03193905817174514,0.24930747922437677,0.5,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.6944444444444444,0.2438538436980876,0.06421243247772901,0.06966606800401817,0.24930747922437677,0.5,0.47368421052631576,0.0,0.0,0.0,0.5291666666666667,0.2833310514784843,0.048850619629631165,0.014827047375523622,0.24930747922437677,0.5,1.5017,25.305,3.33,38
cause_and_effect,0.6724907755851746,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.5,0.24765868886576475,0.0,0.0,0.24765868886576475,0.5,0.41935483870967744,0.0,0.0,0.0,0.21428571428571427,0.5362551582331515,0.28859646936738675,0.0,0.24765868886576475,0.4642857142857143,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.773109243697479,0.3046221194834958,0.15799455350109115,0.10103112288336008,0.24765868886576475,0.5,0.7096774193548387,0.7222222222222222,0.7647058823529411,0.7428571428571428,0.7626050420168067,0.2104912628126604,0.04920094023201274,0.0863683662851171,0.24765868886576475,0.703781512605042,1.204,25.748,3.322,31
