,test_loss,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,count
_total,0.528915286064148,0.6923927058390127,0.5363295880149813,0.20832121035787024,0.300083822296731,0.6967979897417771,0.19414173940880272,0.0,0.02220098231028561,0.21634272171908833,0.5624546356330519,0.6829066126358445,0.2,0.0005819028222286878,0.001160429358862779,0.49084073509515047,0.29937785873463313,0.08348026417878024,0.00044512716323544255,0.21634272171908833,0.4997519404961433,0.5152882667157856,0.37578231292517006,0.8036077974978179,0.5120978956150922,0.6052243166376258,0.303372500925838,0.09596970846902522,0.008939929262275548,0.21634272171908833,0.5926811390130242,0.7340209983422361,0.7016899338721528,0.27785859761419845,0.39808253438932895,0.7617422967173538,0.1770338876653162,0.004245646663939229,0.04355448071771137,0.21634272171908833,0.6115744948723195,464.3802,23.382,2.924,10858
abstract_narrative_understanding,0.760310173034668,0.6634146341463415,0.0,0.0,0.0,0.5,0.22329565734681733,0.0,0.0,0.22329565734681733,0.5,0.6634146341463415,0.0,0.0,0.0,0.5763000852514919,0.3273568665772037,0.12552339010654923,0.021462180876162862,0.22329565734681733,0.5,0.45365853658536587,0.3727810650887574,0.9130434782608695,0.5294117647058824,0.7008738277919863,0.3883044803042009,0.20252210064966072,0.037513277692277164,0.22329565734681733,0.5668158567774936,0.6634146341463415,0.0,0.0,0.0,0.4799658994032395,0.2615580909179893,0.040826383600916144,0.002563950029744161,0.22329565734681733,0.5,7.9581,25.76,3.267,205
anachronisms,0.6196035146713257,0.5434782608695652,0.0,0.0,0.0,0.5,0.24810964083175802,0.0,0.0,0.24810964083175802,0.5,0.5434782608695652,0.0,0.0,0.0,0.6171428571428571,0.4271471051389192,0.2152552831927494,0.03621781888558823,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.49142857142857144,0.4107323636400896,0.19391314167212617,0.031290418863794606,0.24810964083175802,0.5,0.6304347826086957,0.5833333333333334,0.6666666666666666,0.6222222222222222,0.7371428571428571,0.2157773296720319,0.04256641959911653,0.07489873075884265,0.24810964083175802,0.6333333333333333,1.7732,25.941,3.384,46
analogical_similarity,0.7085443735122681,0.7230769230769231,0.0,0.0,0.0,0.5,0.20023668639053252,0.0,0.0,0.20023668639053252,0.5,0.7230769230769231,0.0,0.0,0.0,0.5768321513002365,0.2732990463362617,0.09503192883837497,0.021969568892645813,0.20023668639053252,0.5,0.47692307692307695,0.3333333333333333,0.8888888888888888,0.48484848484848486,0.6430260047281324,0.3413811596193233,0.1614534804608749,0.02030900723208412,0.20023668639053252,0.6040189125295508,0.7230769230769231,0.0,0.0,0.0,0.4722222222222222,0.23057689727967495,0.03034021088914224,-1.942890293094024e-16,0.20023668639053252,0.5,2.6027,24.974,3.458,65
analytic_entailment,0.48168495297431946,0.6428571428571429,0.0,0.0,0.0,0.5,0.2295918367346938,0.0,0.0,0.2295918367346938,0.5,0.6428571428571429,0.0,0.0,0.0,0.4,0.340333005012738,0.11176157644130938,0.0010204081632651796,0.2295918367346938,0.5,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.5333333333333334,0.6427097710105826,0.44543085944595673,0.032312925170067924,0.2295918367346938,0.5,0.8571428571428571,1.0,0.6,0.7499999999999999,0.8,0.14424404401398533,0.046029758299699616,0.1313775510204081,0.2295918367346938,0.8,0.5643,24.809,3.544,14
arithmetic,0.5575124621391296,0.8232323232323232,0.0,0.0,0.0,0.5,0.14552086521783492,0.0,0.0,0.14552086521783492,0.5,0.8232323232323232,0.0,0.0,0.0,0.6652059596844873,0.1500293659520194,0.018900458178617935,0.014391957444433445,0.14552086521783492,0.5,0.7777777777777778,0.3333333333333333,0.2571428571428571,0.2903225806451613,0.6646801051709027,0.17800550720609212,0.04600867924309629,0.013524037254839083,0.14552086521783492,0.5733567046450482,0.7121212121212122,0.21052631578947367,0.22857142857142856,0.21917808219178084,0.599649430324277,0.1865445051626297,0.05299584338816146,0.011972203443366691,0.14552086521783492,0.5222611744084137,7.5771,26.132,3.299,198
authorship_verification,0.712275505065918,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.24987086776859507,0.0,0.0,0.24987086776859507,0.5,0.48863636363636365,0.0,0.0,0.0,0.5,0.5113636363636364,0.2614927685950413,0.0,0.24987086776859507,0.5,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.48863636363636365,0.23876549586776857,0.0,0.24987086776859507,0.5,0.48863636363636365,0.0,0.0,0.0,0.49334625322997416,0.25939038534263326,0.012567530536269467,0.0030480129622312835,0.24987086776859507,0.5,6.9539,25.309,3.164,176
bbq_lite_json,0.414302259683609,0.7524752475247525,0.0,0.0,0.0,0.5,0.18625624938731497,0.0,0.0,0.18625624938731497,0.5,0.6237623762376238,0.26785714285714285,0.3,0.2830188679245283,0.5142105263157895,0.2366216466150098,0.05272090615486341,0.0023555089271685703,0.18625624938731497,0.5151315789473684,0.24257425742574257,0.24120603015075376,0.96,0.38554216867469876,0.5573684210526315,0.41093606625201395,0.23118910437287976,0.006509287508180778,0.18625624938731497,0.4832894736842105,0.7524752475247525,0.0,0.0,0.0,0.851842105263158,0.140983791826823,0.028451604524191057,0.07372406208468303,0.18625624938731497,0.5,7.7747,25.982,3.344,202
causal_judgment,0.7374104261398315,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.5,0.24930747922437677,0.0,0.0,0.24930747922437677,0.5,0.47368421052631576,0.0,0.0,0.0,0.5277777777777778,0.28306564886162794,0.06569722780899631,0.03193905817174514,0.24930747922437677,0.5,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.6944444444444444,0.2438538436980876,0.06421243247772901,0.06966606800401817,0.24930747922437677,0.5,0.47368421052631576,0.0,0.0,0.0,0.4458333333333333,0.27085170335226694,0.027430650720687982,0.005886426592797811,0.24930747922437677,0.5,1.4996,25.341,3.334,38
cause_and_effect,0.618539571762085,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.5,0.24765868886576475,0.0,0.0,0.24765868886576475,0.5,0.41935483870967744,0.0,0.0,0.0,0.21428571428571427,0.5362551582331515,0.28859646936738675,0.0,0.24765868886576475,0.4642857142857143,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.773109243697479,0.3046221194834958,0.15799455350109115,0.10103112288336008,0.24765868886576475,0.5,0.7096774193548387,0.75,0.7058823529411765,0.7272727272727272,0.7205882352941178,0.21413778022984808,0.04332364889448542,0.07684455753040209,0.24765868886576475,0.7100840336134454,1.1904,26.042,3.36,31
