,test_loss,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,count
_total,0.48623597621917725,0.7081255771006464,0.5537679932260796,0.1989051094890511,0.2926829268292683,0.7137725210838768,0.18648692858415936,0.0,0.024940546650069978,0.21142747523422933,0.5645148724321416,0.6960295475530932,0.3,0.0009124087591240876,0.0018192844147968466,0.468595492170044,0.2909024955594094,0.07980302997098071,0.00032800964580065317,0.21142747523422933,0.4999921364930598,0.5167128347183749,0.36707650273224046,0.8172141119221411,0.5065987933634993,0.6314662827339648,0.31168670437080376,0.11183313926314856,0.011573910126574133,0.21142747523422933,0.6014604105089358,0.7595567867036012,0.6237337192474675,0.524330900243309,0.5697290152015863,0.8001351192446388,0.16080385736819608,0.005961162385777624,0.05658478025181088,0.21142747523422933,0.693218221269891,454.7365,23.816,2.978,10830
abstract_narrative_understanding,0.8374176621437073,0.6634146341463415,0.0,0.0,0.0,0.5,0.22329565734681733,0.0,0.0,0.22329565734681733,0.5,0.6634146341463415,0.0,0.0,0.0,0.5763000852514919,0.3273568665772037,0.12552339010654923,0.021462180876162862,0.22329565734681733,0.5,0.45365853658536587,0.3727810650887574,0.9130434782608695,0.5294117647058824,0.7008738277919863,0.3883044803042009,0.20252210064966072,0.037513277692277164,0.22329565734681733,0.5668158567774936,0.6634146341463415,0.0,0.0,0.0,0.5899403239556692,0.27787474806424306,0.06882421366069197,0.014245122943266242,0.22329565734681733,0.5,7.9988,25.629,3.25,205
anachronisms,1.751107096672058,0.5434782608695652,0.0,0.0,0.0,0.5,0.24810964083175802,0.0,0.0,0.24810964083175802,0.5,0.5434782608695652,0.0,0.0,0.0,0.6171428571428571,0.4271471051389192,0.2152552831927494,0.03621781888558823,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.49142857142857144,0.4107323636400896,0.19391314167212617,0.031290418863794606,0.24810964083175802,0.5,0.2826086956521739,0.3,0.42857142857142855,0.3529411764705882,0.19047619047619047,0.5705891244761641,0.32247948364440593,-1.3877787807814457e-16,0.24810964083175802,0.29428571428571426,1.7859,25.758,3.36,46
analogical_similarity,0.7766816020011902,0.7230769230769231,0.0,0.0,0.0,0.5,0.20023668639053252,0.0,0.0,0.20023668639053252,0.5,0.7230769230769231,0.0,0.0,0.0,0.5768321513002365,0.2732990463362617,0.09503192883837497,0.021969568892645813,0.20023668639053252,0.5,0.47692307692307695,0.3333333333333333,0.8888888888888888,0.48484848484848486,0.6430260047281324,0.3413811596193233,0.1614534804608749,0.02030900723208412,0.20023668639053252,0.6040189125295508,0.7230769230769231,0.0,0.0,0.0,0.5,0.24142389591491495,0.041187209524382234,-1.942890293094024e-16,0.20023668639053252,0.5,2.5798,25.196,3.489,65
analytic_entailment,0.530522882938385,0.6428571428571429,0.0,0.0,0.0,0.5,0.2295918367346938,0.0,0.0,0.2295918367346938,0.5,0.6428571428571429,0.0,0.0,0.0,0.4,0.340333005012738,0.11176157644130938,0.0010204081632651796,0.2295918367346938,0.5,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.5333333333333334,0.6427097710105826,0.44543085944595673,0.032312925170067924,0.2295918367346938,0.5,0.7142857142857143,0.6,0.6,0.6,0.7555555555555555,0.1782166119393708,0.03893089765365651,0.09030612244897951,0.2295918367346938,0.6888888888888889,0.5622,24.901,3.557,14
arithmetic,0.9585415124893188,0.8232323232323232,0.0,0.0,0.0,0.5,0.14552086521783492,0.0,0.0,0.14552086521783492,0.5,0.8232323232323232,0.0,0.0,0.0,0.6652059596844873,0.1500293659520194,0.018900458178617935,0.014391957444433445,0.14552086521783492,0.5,0.7777777777777778,0.3333333333333333,0.2571428571428571,0.2903225806451613,0.6646801051709027,0.17800550720609212,0.04600867924309629,0.013524037254839083,0.14552086521783492,0.5733567046450482,0.803030303030303,0.16666666666666666,0.02857142857142857,0.048780487804878044,0.5351446099912358,0.17657781540699974,0.03294669298635888,0.0018897427971940606,0.14552086521783492,0.49894829097283083,7.5594,26.193,3.307,198
authorship_verification,0.695002019405365,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.24987086776859507,0.0,0.0,0.24987086776859507,0.5,0.48863636363636365,0.0,0.0,0.0,0.5,0.5113636363636364,0.2614927685950413,0.0,0.24987086776859507,0.5,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.48863636363636365,0.23876549586776857,0.0,0.24987086776859507,0.5,0.5170454545454546,0.5149700598802395,0.9555555555555556,0.669260700389105,0.5355943152454781,0.2509077664818293,0.008275919162481687,0.007239020449247485,0.24987086776859507,0.5068475452196383,6.9395,25.362,3.17,176
bbq_lite_json,0.33002766966819763,0.7524752475247525,0.0,0.0,0.0,0.5,0.18625624938731497,0.0,0.0,0.18625624938731497,0.5,0.6237623762376238,0.26785714285714285,0.3,0.2830188679245283,0.5142105263157895,0.2366216466150098,0.05272090615486341,0.0023555089271685703,0.18625624938731497,0.5151315789473684,0.24257425742574257,0.24120603015075376,0.96,0.38554216867469876,0.5573684210526315,0.41093606625201395,0.23118910437287976,0.006509287508180778,0.18625624938731497,0.4832894736842105,0.7821782178217822,0.5428571428571428,0.76,0.6333333333333332,0.8880263157894737,0.11380278994934973,0.01086235304851664,0.08331581248648189,0.18625624938731497,0.7747368421052632,7.7794,25.966,3.342,202
causal_judgment,0.706011950969696,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.5,0.24930747922437677,0.0,0.0,0.24930747922437677,0.5,0.47368421052631576,0.0,0.0,0.0,0.5277777777777778,0.28306564886162794,0.06569722780899631,0.03193905817174514,0.24930747922437677,0.5,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.6944444444444444,0.2438538436980876,0.06421243247772901,0.06966606800401817,0.24930747922437677,0.5,0.5,0.5135135135135135,0.95,0.6666666666666667,0.5569444444444445,0.2561887453475759,0.031474786537505434,0.02459352041430629,0.24930747922437677,0.475,1.4834,25.618,3.371,38
cause_and_effect,0.8765339851379395,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.5,0.24765868886576475,0.0,0.0,0.24765868886576475,0.5,0.41935483870967744,0.0,0.0,0.0,0.21428571428571427,0.5362551582331515,0.28859646936738675,0.0,0.24765868886576475,0.4642857142857143,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.773109243697479,0.3046221194834958,0.15799455350109115,0.10103112288336008,0.24765868886576475,0.5,0.2903225806451613,0.2727272727272727,0.17647058823529413,0.21428571428571427,0.2079831932773109,0.3369214923627149,0.1033286113838491,0.014065807886898957,0.24765868886576475,0.3025210084033613,1.2019,25.793,3.328,31
