,test_loss,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,count
_total,0.5001881122589111,0.7081255771006464,0.5537679932260796,0.1989051094890511,0.2926829268292683,0.7137725210838768,0.18648692858415936,0.0,0.024940546650069978,0.21142747523422933,0.5645148724321416,0.6960295475530932,0.3,0.0009124087591240876,0.0018192844147968466,0.468595492170044,0.2909024955594094,0.07980302997098071,0.00032800964580065317,0.21142747523422933,0.4999921364930598,0.5167128347183749,0.36707650273224046,0.8172141119221411,0.5065987933634993,0.6314662827339648,0.31168670437080376,0.11183313926314856,0.011573910126574133,0.21142747523422933,0.6014604105089358,0.7352723915050785,0.5870914356640463,0.43156934306569344,0.4974583698510079,0.7720060443350167,0.16811206268842194,0.002785372349559223,0.04610078489536662,0.21142747523422933,0.6496218500000968,83.5002,129.7,16.216,10830
abstract_narrative_understanding,0.9751479625701904,0.6634146341463415,0.0,0.0,0.0,0.5,0.22329565734681733,0.0,0.0,0.22329565734681733,0.5,0.6634146341463415,0.0,0.0,0.0,0.5763000852514919,0.3273568665772037,0.12552339010654923,0.021462180876162862,0.22329565734681733,0.5,0.45365853658536587,0.3727810650887574,0.9130434782608695,0.5294117647058824,0.7008738277919863,0.3883044803042009,0.20252210064966072,0.037513277692277164,0.22329565734681733,0.5668158567774936,0.6634146341463415,0.0,0.0,0.0,0.5024509803921569,0.29821117284965415,0.0786560510963672,0.003740535593530381,0.22329565734681733,0.5,1.5871,129.169,16.382,205
anachronisms,0.758965015411377,0.5434782608695652,0.0,0.0,0.0,0.5,0.24810964083175802,0.0,0.0,0.24810964083175802,0.5,0.5434782608695652,0.0,0.0,0.0,0.6171428571428571,0.4271471051389192,0.2152552831927494,0.03621781888558823,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.49142857142857144,0.4107323636400896,0.19391314167212617,0.031290418863794606,0.24810964083175802,0.5,0.43478260869565216,0.4358974358974359,0.8095238095238095,0.5666666666666667,0.30857142857142855,0.2819283365092033,0.038450075639638176,0.0046313799621929,0.24810964083175802,0.46476190476190476,0.3786,121.499,15.848,46
analogical_similarity,0.6678450703620911,0.7230769230769231,0.0,0.0,0.0,0.5,0.20023668639053252,0.0,0.0,0.20023668639053252,0.5,0.7230769230769231,0.0,0.0,0.0,0.5768321513002365,0.2732990463362617,0.09503192883837497,0.021969568892645813,0.20023668639053252,0.5,0.47692307692307695,0.3333333333333333,0.8888888888888888,0.48484848484848486,0.6430260047281324,0.3413811596193233,0.1614534804608749,0.02030900723208412,0.20023668639053252,0.6040189125295508,0.7230769230769231,0.0,0.0,0.0,0.4722222222222222,0.22230986090578447,0.02207317451525176,-1.942890293094024e-16,0.20023668639053252,0.5,0.5207,124.841,17.286,65
analytic_entailment,0.5865984559059143,0.6428571428571429,0.0,0.0,0.0,0.5,0.2295918367346938,0.0,0.0,0.2295918367346938,0.5,0.6428571428571429,0.0,0.0,0.0,0.4,0.340333005012738,0.11176157644130938,0.0010204081632651796,0.2295918367346938,0.5,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.5333333333333334,0.6427097710105826,0.44543085944595673,0.032312925170067924,0.2295918367346938,0.5,0.6428571428571429,0.5,0.4,0.4444444444444445,0.688888888888889,0.20070477084588262,0.0483238184649292,0.07721088435374038,0.2295918367346938,0.5888888888888889,0.1359,103.007,14.715,14
arithmetic,1.0090864896774292,0.8232323232323232,0.0,0.0,0.0,0.5,0.14552086521783492,0.0,0.0,0.14552086521783492,0.5,0.8232323232323232,0.0,0.0,0.0,0.6652059596844873,0.1500293659520194,0.018900458178617935,0.014391957444433445,0.14552086521783492,0.5,0.7777777777777778,0.3333333333333333,0.2571428571428571,0.2903225806451613,0.6646801051709027,0.17800550720609212,0.04600867924309629,0.013524037254839083,0.14552086521783492,0.5733567046450482,0.7828282828282829,0.1,0.02857142857142857,0.04444444444444444,0.5284837861524978,0.18452358457308485,0.04124859445598947,0.002245875100739536,0.14552086521783492,0.4866783523225241,1.4687,134.817,17.022,198
authorship_verification,0.6669086813926697,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.24987086776859507,0.0,0.0,0.24987086776859507,0.5,0.48863636363636365,0.0,0.0,0.0,0.5,0.5113636363636364,0.2614927685950413,0.0,0.24987086776859507,0.5,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.48863636363636365,0.23876549586776857,0.0,0.24987086776859507,0.5,0.6306818181818182,0.6344086021505376,0.6555555555555556,0.644808743169399,0.6790051679586563,0.2369895968672176,0.022187731521660953,0.035069002423038426,0.24987086776859507,0.6301033591731267,1.3522,130.154,16.269,176
bbq_lite_json,0.42933493852615356,0.7524752475247525,0.0,0.0,0.0,0.5,0.18625624938731497,0.0,0.0,0.18625624938731497,0.5,0.6237623762376238,0.26785714285714285,0.3,0.2830188679245283,0.5142105263157895,0.2366216466150098,0.05272090615486341,0.0023555089271685703,0.18625624938731497,0.5151315789473684,0.24257425742574257,0.24120603015075376,0.96,0.38554216867469876,0.5573684210526315,0.41093606625201395,0.23118910437287976,0.006509287508180778,0.18625624938731497,0.4832894736842105,0.7623762376237624,0.5416666666666666,0.26,0.35135135135135137,0.8360526315789474,0.1401073211744698,0.015071292644300793,0.06122022085714596,0.18625624938731497,0.5938157894736842,1.5288,132.133,17.007,202
causal_judgment,0.704390287399292,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.5,0.24930747922437677,0.0,0.0,0.24930747922437677,0.5,0.47368421052631576,0.0,0.0,0.0,0.5277777777777778,0.28306564886162794,0.06569722780899631,0.03193905817174514,0.24930747922437677,0.5,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.6944444444444444,0.2438538436980876,0.06421243247772901,0.06966606800401817,0.24930747922437677,0.5,0.5263157894736842,0.5384615384615384,0.7,0.608695652173913,0.4652777777777778,0.25544382978034325,0.02316312802595724,0.01702677746999076,0.24930747922437677,0.5166666666666666,0.3049,124.643,16.4,38
cause_and_effect,0.7939004302024841,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.5,0.24765868886576475,0.0,0.0,0.24765868886576475,0.5,0.41935483870967744,0.0,0.0,0.0,0.21428571428571427,0.5362551582331515,0.28859646936738675,0.0,0.24765868886576475,0.4642857142857143,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.773109243697479,0.3046221194834958,0.15799455350109115,0.10103112288336008,0.24765868886576475,0.5,0.5161290322580645,0.5384615384615384,0.8235294117647058,0.6511627906976744,0.3298319327731092,0.29146257381130114,0.047990991630041224,0.004187106684504838,0.24765868886576475,0.4831932773109243,0.2741,113.089,14.592,31
