,test_loss,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,count
_total,0.5308962464332581,0.7010594196222939,0.5610310841546626,0.2172636523781562,0.31322751322751324,0.7078248157149573,0.19071214855954396,0.0,0.024607152957183076,0.21531930151672704,0.5697675491049057,0.6855826807922616,0.18181818181818182,0.0005871990604815032,0.001170617500731636,0.4686668720956842,0.2966757598706608,0.08158674074289746,0.0002302823889636929,0.21531930151672704,0.4996894915962899,0.5391985260248733,0.38779527559055116,0.8097475044039929,0.5244343030994486,0.6450809525127099,0.2956243628111666,0.09388729903012863,0.013582237735689062,0.21531930151672704,0.612619758377322,0.7146936895439889,0.5516895282703245,0.4841456253669994,0.5157154026583268,0.7549055440372887,0.1802071741223522,0.0055179723068349285,0.04063009970120976,0.21531930151672704,0.652127853628593,84.439,128.554,16.071,10855
abstract_narrative_understanding,0.6756002902984619,0.6634146341463415,0.0,0.0,0.0,0.5,0.22329565734681733,0.0,0.0,0.22329565734681733,0.5,0.6634146341463415,0.0,0.0,0.0,0.5763000852514919,0.3273568665772037,0.12552339010654923,0.021462180876162862,0.22329565734681733,0.5,0.45365853658536587,0.3727810650887574,0.9130434782608695,0.5294117647058824,0.7008738277919863,0.3883044803042009,0.20252210064966072,0.037513277692277164,0.22329565734681733,0.5668158567774936,0.6634146341463415,0.0,0.0,0.0,0.5504049445865303,0.23717129532215037,0.02302354961412803,0.009147911638794998,0.22329565734681733,0.5,1.5503,132.231,16.771,205
anachronisms,0.6849473714828491,0.5434782608695652,0.0,0.0,0.0,0.5,0.24810964083175802,0.0,0.0,0.24810964083175802,0.5,0.5434782608695652,0.0,0.0,0.0,0.6171428571428571,0.4271471051389192,0.2152552831927494,0.03621781888558823,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.49142857142857144,0.4107323636400896,0.19391314167212617,0.031290418863794606,0.24810964083175802,0.5,0.5869565217391305,0.5625,0.42857142857142855,0.4864864864864864,0.5066666666666666,0.24614108410975294,0.018843653279713463,0.02081221000171854,0.24810964083175802,0.5742857142857143,0.3841,119.763,15.621,46
analogical_similarity,0.6638569831848145,0.7230769230769231,0.0,0.0,0.0,0.5,0.20023668639053252,0.0,0.0,0.20023668639053252,0.5,0.7230769230769231,0.0,0.0,0.0,0.5768321513002365,0.2732990463362617,0.09503192883837497,0.021969568892645813,0.20023668639053252,0.5,0.47692307692307695,0.3333333333333333,0.8888888888888888,0.48484848484848486,0.6430260047281324,0.3413811596193233,0.1614534804608749,0.02030900723208412,0.20023668639053252,0.6040189125295508,0.7230769230769231,0.0,0.0,0.0,0.4722222222222222,0.2214084869681288,0.021171800577596073,-1.942890293094024e-16,0.20023668639053252,0.5,0.5404,120.276,16.654,65
analytic_entailment,0.7110943794250488,0.6428571428571429,0.0,0.0,0.0,0.5,0.2295918367346938,0.0,0.0,0.2295918367346938,0.5,0.6428571428571429,0.0,0.0,0.0,0.4,0.340333005012738,0.11176157644130938,0.0010204081632651796,0.2295918367346938,0.5,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.5333333333333334,0.6427097710105826,0.44543085944595673,0.032312925170067924,0.2295918367346938,0.5,0.5714285714285714,0.45454545454545453,1.0,0.625,0.6666666666666667,0.26038705707229864,0.11752991421515571,0.08673469387755087,0.2295918367346938,0.6666666666666666,0.1245,112.478,16.068,14
arithmetic,0.7453018426895142,0.8232323232323232,0.0,0.0,0.0,0.5,0.14552086521783492,0.0,0.0,0.14552086521783492,0.5,0.8232323232323232,0.0,0.0,0.0,0.6652059596844873,0.1500293659520194,0.018900458178617935,0.014391957444433445,0.14552086521783492,0.5,0.7777777777777778,0.3333333333333333,0.2571428571428571,0.2903225806451613,0.6646801051709027,0.17800550720609212,0.04600867924309629,0.013524037254839083,0.14552086521783492,0.5733567046450482,0.7727272727272727,0.1875,0.08571428571428572,0.11764705882352938,0.5311130587204207,0.179959357403635,0.03777092648945393,0.0033324343036538473,0.14552086521783492,0.5029798422436459,1.4939,132.536,16.734,198
authorship_verification,0.664294421672821,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.24987086776859507,0.0,0.0,0.24987086776859507,0.5,0.48863636363636365,0.0,0.0,0.0,0.5,0.5113636363636364,0.2614927685950413,0.0,0.24987086776859507,0.5,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.48863636363636365,0.23876549586776857,0.0,0.24987086776859507,0.5,0.5909090909090909,0.55625,0.9888888888888889,0.7120000000000001,0.7366279069767442,0.235751329877597,0.04044899625196327,0.05456853414296134,0.24987086776859507,0.5816537467700259,1.3731,128.181,16.023,176
bbq_lite_json,0.39332282543182373,0.7524752475247525,0.0,0.0,0.0,0.5,0.18625624938731497,0.0,0.0,0.18625624938731497,0.5,0.6237623762376238,0.26785714285714285,0.3,0.2830188679245283,0.5142105263157895,0.2366216466150098,0.05272090615486341,0.0023555089271685703,0.18625624938731497,0.5151315789473684,0.24257425742574257,0.24120603015075376,0.96,0.38554216867469876,0.5573684210526315,0.41093606625201395,0.23118910437287976,0.006509287508180778,0.18625624938731497,0.4832894736842105,0.7623762376237624,0.5151515151515151,0.68,0.5862068965517241,0.8652631578947368,0.1302175105604805,0.012619809494827286,0.06865854832166175,0.18625624938731497,0.7347368421052631,1.5233,132.611,17.069,202
causal_judgment,0.6894001960754395,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.5,0.24930747922437677,0.0,0.0,0.24930747922437677,0.5,0.47368421052631576,0.0,0.0,0.0,0.5277777777777778,0.28306564886162794,0.06569722780899631,0.03193905817174514,0.24930747922437677,0.5,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.6944444444444444,0.2438538436980876,0.06421243247772901,0.06966606800401817,0.24930747922437677,0.5,0.5526315789473685,0.5428571428571428,0.95,0.6909090909090908,0.5402777777777779,0.24851948503531857,0.03141422187742382,0.03220221606648202,0.24930747922437677,0.5305555555555556,0.3239,117.336,15.439,38
cause_and_effect,0.7082286477088928,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.5,0.24765868886576475,0.0,0.0,0.24765868886576475,0.5,0.41935483870967744,0.0,0.0,0.0,0.21428571428571427,0.5362551582331515,0.28859646936738675,0.0,0.24765868886576475,0.4642857142857143,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.773109243697479,0.3046221194834958,0.15799455350109115,0.10103112288336008,0.24765868886576475,0.5,0.5483870967741935,0.5555555555555556,0.8823529411764706,0.6818181818181819,0.5021008403361344,0.25550997685092003,0.030906128520415965,0.02305484053526069,0.24765868886576475,0.5126050420168067,0.2482,124.884,16.114,31
