,test_loss,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,count
_total,0.5144619941711426,0.6927260993823177,0.5851005981511691,0.29511793746571585,0.39234275296262533,0.7237709373728569,0.1926531086259598,0.0,0.030493450720761872,0.22314655934672167,0.5945802157818789,0.6630404720199133,0.15384615384615385,0.0005485463521667581,0.0010931948619841488,0.445550604257972,0.32060028259943735,0.09759424421171295,0.00014052095899727557,0.22314655934672167,0.49951049036814005,0.5553609292892044,0.4168432951815741,0.8091058694459682,0.5502191550871958,0.6411329359920831,0.2889698839407431,0.08128785915313727,0.015464534559115867,0.22314655934672167,0.6179955121427869,0.7217663870194524,0.601486748545572,0.5104223806911684,0.5522255192878338,0.779619579562569,0.1746067074265958,0.003042527552312463,0.05158237947243835,0.22314655934672167,0.6695980810552078,175.5129,61.802,7.726,10847
abstract_narrative_understanding,0.8255388736724854,0.6634146341463415,0.0,0.0,0.0,0.5,0.22329565734681733,0.0,0.0,0.22329565734681733,0.5,0.6634146341463415,0.0,0.0,0.0,0.5763000852514919,0.3273568665772037,0.12552339010654923,0.021462180876162862,0.22329565734681733,0.5,0.45365853658536587,0.3727810650887574,0.9130434782608695,0.5294117647058824,0.7008738277919863,0.3883044803042009,0.20252210064966072,0.037513277692277164,0.22329565734681733,0.5668158567774936,0.6634146341463415,0.0,0.0,0.0,0.5136402387041773,0.27528192096205806,0.055995884054069855,0.004009620438829131,0.22329565734681733,0.5,2.8225,72.632,9.212,205
anachronisms,0.6708425283432007,0.5434782608695652,0.0,0.0,0.0,0.5,0.24810964083175802,0.0,0.0,0.24810964083175802,0.5,0.5434782608695652,0.0,0.0,0.0,0.6171428571428571,0.4271471051389192,0.2152552831927494,0.03621781888558823,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.49142857142857144,0.4107323636400896,0.19391314167212617,0.031290418863794606,0.24810964083175802,0.5,0.5434782608695652,0.5,0.6666666666666666,0.5714285714285715,0.6399999999999999,0.23914354316261535,0.03018909272388673,0.03915519039302939,0.24810964083175802,0.5533333333333333,0.6627,69.412,9.054,46
analogical_similarity,0.654059648513794,0.7230769230769231,0.0,0.0,0.0,0.5,0.20023668639053252,0.0,0.0,0.20023668639053252,0.5,0.7230769230769231,0.0,0.0,0.0,0.5768321513002365,0.2732990463362617,0.09503192883837497,0.021969568892645813,0.20023668639053252,0.5,0.47692307692307695,0.3333333333333333,0.8888888888888888,0.48484848484848486,0.6430260047281324,0.3413811596193233,0.1614534804608749,0.02030900723208412,0.20023668639053252,0.6040189125295508,0.7230769230769231,0.0,0.0,0.0,0.4722222222222222,0.21911474327406408,0.018878056883531363,-1.942890293094024e-16,0.20023668639053252,0.5,0.9268,70.131,9.71,65
analytic_entailment,0.5998808741569519,0.6428571428571429,0.0,0.0,0.0,0.5,0.2295918367346938,0.0,0.0,0.2295918367346938,0.5,0.6428571428571429,0.0,0.0,0.0,0.4,0.340333005012738,0.11176157644130938,0.0010204081632651796,0.2295918367346938,0.5,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.5333333333333334,0.6427097710105826,0.44543085944595673,0.032312925170067924,0.2295918367346938,0.5,0.6428571428571429,0.5,0.4,0.4444444444444445,0.6666666666666667,0.20904264988386226,0.059382785938283916,0.07993197278911546,0.2295918367346938,0.5888888888888889,0.2331,60.064,8.581,14
arithmetic,0.49861791729927063,0.8232323232323232,0.0,0.0,0.0,0.5,0.14552086521783492,0.0,0.0,0.14552086521783492,0.5,0.8232323232323232,0.0,0.0,0.0,0.6652059596844873,0.1500293659520194,0.018900458178617935,0.014391957444433445,0.14552086521783492,0.5,0.7777777777777778,0.3333333333333333,0.2571428571428571,0.2903225806451613,0.6646801051709027,0.17800550720609212,0.04600867924309629,0.013524037254839083,0.14552086521783492,0.5733567046450482,0.8080808080808081,0.36363636363636365,0.11428571428571428,0.17391304347826086,0.5796669588080631,0.1560461624050704,0.01654979883410651,0.006024501646871017,0.14552086521783492,0.5356704645048204,2.767,71.558,9.035,198
authorship_verification,0.6723760962486267,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.24987086776859507,0.0,0.0,0.24987086776859507,0.5,0.48863636363636365,0.0,0.0,0.0,0.5,0.5113636363636364,0.2614927685950413,0.0,0.24987086776859507,0.5,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.48863636363636365,0.23876549586776857,0.0,0.24987086776859507,0.5,0.6079545454545454,0.6909090909090909,0.4222222222222222,0.5241379310344827,0.6489018087855297,0.23993429354153284,0.02123512654691126,0.031171700773973493,0.24987086776859507,0.6122739018087855,2.4849,70.827,8.853,176
bbq_lite_json,0.4036165773868561,0.7524752475247525,0.0,0.0,0.0,0.5,0.18625624938731497,0.0,0.0,0.18625624938731497,0.5,0.6237623762376238,0.26785714285714285,0.3,0.2830188679245283,0.5142105263157895,0.2366216466150098,0.05272090615486341,0.0023555089271685703,0.18625624938731497,0.5151315789473684,0.24257425742574257,0.24120603015075376,0.96,0.38554216867469876,0.5573684210526315,0.41093606625201395,0.23118910437287976,0.006509287508180778,0.18625624938731497,0.4832894736842105,0.7475247524752475,0.4878048780487805,0.4,0.43956043956043955,0.8223684210526316,0.13737027361494508,0.018702574497310068,0.06758855026967996,0.18625624938731497,0.6309210526315789,2.8294,71.393,9.189,202
causal_judgment,0.6918756365776062,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.5,0.24930747922437677,0.0,0.0,0.24930747922437677,0.5,0.47368421052631576,0.0,0.0,0.0,0.5277777777777778,0.28306564886162794,0.06569722780899631,0.03193905817174514,0.24930747922437677,0.5,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.6944444444444444,0.2438538436980876,0.06421243247772901,0.06966606800401817,0.24930747922437677,0.5,0.5263157894736842,0.55,0.55,0.55,0.5291666666666668,0.24951308452139587,0.02245505483178667,0.022249449534767568,0.24930747922437677,0.525,0.5578,68.13,8.965,38
cause_and_effect,0.7851778864860535,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.5,0.24765868886576475,0.0,0.0,0.24765868886576475,0.5,0.41935483870967744,0.0,0.0,0.0,0.21428571428571427,0.5362551582331515,0.28859646936738675,0.0,0.24765868886576475,0.4642857142857143,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.773109243697479,0.3046221194834958,0.15799455350109115,0.10103112288336008,0.24765868886576475,0.5,0.5161290322580645,0.5333333333333333,0.9411764705882353,0.6808510638297872,0.4012605042016807,0.2900491575104173,0.0613101545778659,0.01891968593321333,0.24765868886576475,0.47058823529411764,0.4537,68.321,8.816,31
