,test_loss,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,count
_total,0.4994864761829376,0.7063176394413098,0.5761421319796954,0.2658857979502196,0.363854938890002,0.7232175280532313,0.1875929188641962,0.0,0.028507632925310333,0.21610055178950655,0.5877833532747312,0.6836555360281195,0.0,0.0,0.0,0.5011216343447092,0.313289422821103,0.09760497229311693,0.000416101261520474,0.21610055178950655,0.49966197944835045,0.46341689020442145,0.3576712001908852,0.8778916544655929,0.5082648130880733,0.5657479964240099,0.39723996684255575,0.18774620863141211,0.006606793578362913,0.21610055178950655,0.5749652972165715,0.7451669595782073,0.6847704367301232,0.3581259150805271,0.47029417419726977,0.7794906351975308,0.1681300062657477,0.0013284122676770482,0.04929895779143589,0.21610055178950655,0.6410018434245253,158.1352,68.366,8.55,10811
abstract_narrative_understanding,0.9129705429077148,0.6634146341463415,0.0,0.0,0.0,0.5,0.22329565734681733,0.0,0.0,0.22329565734681733,0.5,0.6634146341463415,0.0,0.0,0.0,0.5763000852514919,0.3273568665772037,0.12552339010654923,0.021462180876162862,0.22329565734681733,0.5,0.45365853658536587,0.3727810650887574,0.9130434782608695,0.5294117647058824,0.7008738277919863,0.3883044803042009,0.20252210064966072,0.037513277692277164,0.22329565734681733,0.5668158567774936,0.6634146341463415,0.0,0.0,0.0,0.5385763000852515,0.29015667960236696,0.07346363878077278,0.006602616525223148,0.22329565734681733,0.5,2.9471,69.561,8.822,205
anachronisms,0.792227029800415,0.5434782608695652,0.0,0.0,0.0,0.5,0.24810964083175802,0.0,0.0,0.24810964083175802,0.5,0.5434782608695652,0.0,0.0,0.0,0.6171428571428571,0.4271471051389192,0.2152552831927494,0.03621781888558823,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.49142857142857144,0.4107323636400896,0.19391314167212617,0.031290418863794606,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.4152380952380952,0.2969874581458413,0.05544156442603465,0.006563747111951346,0.24810964083175802,0.5,0.7114,64.662,8.434,46
analogical_similarity,0.6248362064361572,0.7230769230769231,0.0,0.0,0.0,0.5,0.20023668639053252,0.0,0.0,0.20023668639053252,0.5,0.7230769230769231,0.0,0.0,0.0,0.5768321513002365,0.2732990463362617,0.09503192883837497,0.021969568892645813,0.20023668639053252,0.5,0.47692307692307695,0.3333333333333333,0.8888888888888888,0.48484848484848486,0.6430260047281324,0.3413811596193233,0.1614534804608749,0.02030900723208412,0.20023668639053252,0.6040189125295508,0.7230769230769231,0.0,0.0,0.0,0.5277777777777778,0.21150237587444812,0.011265689483915403,-1.942890293094024e-16,0.20023668639053252,0.5,0.9727,66.822,9.252,65
analytic_entailment,0.6573670506477356,0.6428571428571429,0.0,0.0,0.0,0.5,0.2295918367346938,0.0,0.0,0.2295918367346938,0.5,0.6428571428571429,0.0,0.0,0.0,0.4,0.340333005012738,0.11176157644130938,0.0010204081632651796,0.2295918367346938,0.5,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.5333333333333334,0.6427097710105826,0.44543085944595673,0.032312925170067924,0.2295918367346938,0.5,0.5714285714285714,0.4,0.4,0.4000000000000001,0.6444444444444445,0.23250379443952784,0.06583712777286119,0.06292517006802714,0.2295918367346938,0.5333333333333333,0.2251,62.193,8.885,14
arithmetic,0.9750766754150391,0.8232323232323232,0.0,0.0,0.0,0.5,0.14552086521783492,0.0,0.0,0.14552086521783492,0.5,0.8232323232323232,0.0,0.0,0.0,0.6652059596844873,0.1500293659520194,0.018900458178617935,0.014391957444433445,0.14552086521783492,0.5,0.7777777777777778,0.3333333333333333,0.2571428571428571,0.2903225806451613,0.6646801051709027,0.17800550720609212,0.04600867924309629,0.013524037254839083,0.14552086521783492,0.5733567046450482,0.8080808080808081,0.0,0.0,0.0,0.5318141980718668,0.17874835073082182,0.035236955425926836,0.002009469912939932,0.14552086521783492,0.49079754601226994,2.8528,69.407,8.763,198
authorship_verification,0.7365734577178955,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.24987086776859507,0.0,0.0,0.24987086776859507,0.5,0.48863636363636365,0.0,0.0,0.0,0.5,0.5113636363636364,0.2614927685950413,0.0,0.24987086776859507,0.5,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.48863636363636365,0.23876549586776857,0.0,0.24987086776859507,0.5,0.48295454545454547,0.4838709677419355,0.16666666666666666,0.24793388429752067,0.4791343669250646,0.26994072483388765,0.021201978676661043,0.0011321216113684696,0.24987086776859507,0.4903100775193798,2.528,69.619,8.702,176
bbq_lite_json,0.5659108757972717,0.7524752475247525,0.0,0.0,0.0,0.5,0.18625624938731497,0.0,0.0,0.18625624938731497,0.5,0.6237623762376238,0.26785714285714285,0.3,0.2830188679245283,0.5142105263157895,0.2366216466150098,0.05272090615486341,0.0023555089271685703,0.18625624938731497,0.5151315789473684,0.24257425742574257,0.24120603015075376,0.96,0.38554216867469876,0.5573684210526315,0.41093606625201395,0.23118910437287976,0.006509287508180778,0.18625624938731497,0.4832894736842105,0.7475247524752475,0.3333333333333333,0.02,0.03773584905660377,0.6389473684210526,0.18984511792006278,0.021842028979992406,0.018253160447244593,0.18625624938731497,0.5034210526315789,2.8756,70.247,9.042,202
causal_judgment,0.7181738615036011,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.5,0.24930747922437677,0.0,0.0,0.24930747922437677,0.5,0.47368421052631576,0.0,0.0,0.0,0.5277777777777778,0.28306564886162794,0.06569722780899631,0.03193905817174514,0.24930747922437677,0.5,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.6944444444444444,0.2438538436980876,0.06421243247772901,0.06966606800401817,0.24930747922437677,0.5,0.4473684210526316,0.3333333333333333,0.05,0.08695652173913045,0.45694444444444443,0.26243158450196763,0.034742797316612783,0.02161869203902192,0.24930747922437677,0.46944444444444444,0.5629,67.509,8.883,38
cause_and_effect,0.7849184274673462,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.5,0.24765868886576475,0.0,0.0,0.24765868886576475,0.5,0.41935483870967744,0.0,0.0,0.0,0.21428571428571427,0.5362551582331515,0.28859646936738675,0.0,0.24765868886576475,0.4642857142857143,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.773109243697479,0.3046221194834958,0.15799455350109115,0.10103112288336008,0.24765868886576475,0.5,0.3548387096774194,0.2857142857142857,0.11764705882352941,0.16666666666666666,0.37184873949579833,0.294030320492944,0.05793868888938947,0.011567057262210245,0.24765868886576475,0.38025210084033617,0.4577,67.725,8.739,31
