,test_loss,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,count
_total,0.578197181224823,0.6849555884529978,0.5838183934807916,0.27159490928784186,0.37072629828127884,0.7089967743955014,0.19778159747127033,0.0,0.027156770618052495,0.22493836808932283,0.5855514954028809,0.6445225758697262,0.4746856948691811,0.3782832385594368,0.421036769138035,0.6104656984334762,0.2640632713942735,0.04862723411660824,0.009502330811657578,0.22493836808932283,0.5804979088088822,0.49555884529977795,0.3935874168179068,0.8808556728946656,0.5440709148687071,0.6119648024533699,0.3487985122907099,0.13427376949073086,0.01041362528934378,0.22493836808932283,0.5882142032779722,0.676720947446336,0.5363271266885725,0.3977795829948551,0.4567786069651741,0.7017721320025979,0.19895820446479898,0.0019891724583732395,0.02796933608289709,0.22493836808932283,0.6096417240343215,155.8028,69.37,8.671,10808
abstract_narrative_understanding,0.7048081755638123,0.6634146341463415,0.0,0.0,0.0,0.5,0.22329565734681733,0.0,0.0,0.22329565734681733,0.5,0.6634146341463415,0.0,0.0,0.0,0.5763000852514919,0.3273568665772037,0.12552339010654923,0.021462180876162862,0.22329565734681733,0.5,0.45365853658536587,0.3727810650887574,0.9130434782608695,0.5294117647058824,0.7008738277919863,0.3883044803042009,0.20252210064966072,0.037513277692277164,0.22329565734681733,0.5668158567774936,0.6634146341463415,0.0,0.0,0.0,0.5200341005967605,0.24632997745328442,0.028901717071817712,0.00586739696535063,0.22329565734681733,0.5,2.8571,71.75,9.1,205
anachronisms,0.7267424464225769,0.5434782608695652,0.0,0.0,0.0,0.5,0.24810964083175802,0.0,0.0,0.24810964083175802,0.5,0.5434782608695652,0.0,0.0,0.0,0.6171428571428571,0.4271471051389192,0.2152552831927494,0.03621781888558823,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.49142857142857144,0.4107323636400896,0.19391314167212617,0.031290418863794606,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.4666666666666667,0.26655370934635986,0.027423274563751154,0.008979206049149313,0.24810964083175802,0.5,0.6667,68.993,8.999,46
analogical_similarity,0.6422442197799683,0.7230769230769231,0.0,0.0,0.0,0.5,0.20023668639053252,0.0,0.0,0.20023668639053252,0.5,0.7230769230769231,0.0,0.0,0.0,0.5768321513002365,0.2732990463362617,0.09503192883837497,0.021969568892645813,0.20023668639053252,0.5,0.47692307692307695,0.3333333333333333,0.8888888888888888,0.48484848484848486,0.6430260047281324,0.3413811596193233,0.1614534804608749,0.02030900723208412,0.20023668639053252,0.6040189125295508,0.7230769230769231,0.0,0.0,0.0,0.4722222222222222,0.21618630506492634,0.015949618674393623,-1.942890293094024e-16,0.20023668639053252,0.5,0.9457,68.73,9.516,65
analytic_entailment,0.6463329195976257,0.6428571428571429,0.0,0.0,0.0,0.5,0.2295918367346938,0.0,0.0,0.2295918367346938,0.5,0.6428571428571429,0.0,0.0,0.0,0.4,0.340333005012738,0.11176157644130938,0.0010204081632651796,0.2295918367346938,0.5,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.5333333333333334,0.6427097710105826,0.44543085944595673,0.032312925170067924,0.2295918367346938,0.5,0.6428571428571429,0.5,0.4,0.4444444444444445,0.8222222222222222,0.22683950905529285,0.1247986927287621,0.12755102040816305,0.2295918367346938,0.5888888888888889,0.211,66.345,9.478,14
arithmetic,0.7606004476547241,0.8232323232323232,0.0,0.0,0.0,0.5,0.14552086521783492,0.0,0.0,0.14552086521783492,0.5,0.8232323232323232,0.0,0.0,0.0,0.6652059596844873,0.1500293659520194,0.018900458178617935,0.014391957444433445,0.14552086521783492,0.5,0.7777777777777778,0.3333333333333333,0.2571428571428571,0.2903225806451613,0.6646801051709027,0.17800550720609212,0.04600867924309629,0.013524037254839083,0.14552086521783492,0.5733567046450482,0.37373737373737376,0.14960629921259844,0.5428571428571428,0.2345679012345679,0.4236634531113059,0.28289836022828496,0.13921589605163473,0.001838401041184684,0.14552086521783492,0.44014022787028917,2.7024,73.268,9.251,198
authorship_verification,0.7292422652244568,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.24987086776859507,0.0,0.0,0.24987086776859507,0.5,0.48863636363636365,0.0,0.0,0.0,0.5,0.5113636363636364,0.2614927685950413,0.0,0.24987086776859507,0.5,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.48863636363636365,0.23876549586776857,0.0,0.24987086776859507,0.5,0.48863636363636365,0.5,0.3888888888888889,0.43750000000000006,0.48171834625322996,0.2669264660822387,0.021271385868334824,0.004215787554691208,0.24987086776859507,0.49095607235142125,2.5113,70.083,8.76,176
bbq_lite_json,1.0602970123291016,0.7524752475247525,0.0,0.0,0.0,0.5,0.18625624938731497,0.0,0.0,0.18625624938731497,0.5,0.6237623762376238,0.26785714285714285,0.3,0.2830188679245283,0.5142105263157895,0.2366216466150098,0.05272090615486341,0.0023555089271685703,0.18625624938731497,0.5151315789473684,0.24257425742574257,0.24120603015075376,0.96,0.38554216867469876,0.5573684210526315,0.41093606625201395,0.23118910437287976,0.006509287508180778,0.18625624938731497,0.4832894736842105,0.24752475247524752,0.245,0.98,0.39199999999999996,0.38960526315789473,0.40807006447989486,0.22211863340506688,0.000304818312486993,0.18625624938731497,0.4932894736842105,2.809,71.912,9.256,202
causal_judgment,0.6662059426307678,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.5,0.24930747922437677,0.0,0.0,0.24930747922437677,0.5,0.47368421052631576,0.0,0.0,0.0,0.5277777777777778,0.28306564886162794,0.06569722780899631,0.03193905817174514,0.24930747922437677,0.5,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.6944444444444444,0.2438538436980876,0.06421243247772901,0.06966606800401817,0.24930747922437677,0.5,0.631578947368421,0.6666666666666666,0.6,0.631578947368421,0.701388888888889,0.23643138260589483,0.04783489137782454,0.060710987996306476,0.24930747922437677,0.6333333333333333,0.5806,65.448,8.612,38
cause_and_effect,0.6809212565422058,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.5,0.24765868886576475,0.0,0.0,0.24765868886576475,0.5,0.41935483870967744,0.0,0.0,0.0,0.21428571428571427,0.5362551582331515,0.28859646936738675,0.0,0.24765868886576475,0.4642857142857143,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.773109243697479,0.3046221194834958,0.15799455350109115,0.10103112288336008,0.24765868886576475,0.5,0.5161290322580645,0.5333333333333333,0.9411764705882353,0.6808510638297872,0.6995798319327732,0.24418255914236756,0.082184822866193,0.0856609525895902,0.24765868886576475,0.47058823529411764,0.4496,68.951,8.897,31
checkmate_in_one,0.0639498382806778,0.9902439024390244,0.0,0.0,0.0,0.5,0.009660916121356337,0.0,0.0,0.009660916121356337,0.5,0.9902439024390244,0.0,0.0,0.0,0.5985221674876847,0.009755036848154102,0.0010058185867407136,0.000911697859942948,0.009660916121356337,0.5,0.43902439024390244,0.017094017094017096,1.0,0.033613445378151266,0.9408866995073892,0.3775696250001089,0.36967183173646195,0.0017631228577094146,0.009660916121356337,0.7167487684729064,0.9902439024390244,0.0,0.0,0.0,0.4876847290640394,0.0097261832247799,0.00023123792955137383,0.00016597082612780992,0.009660916121356337,0.5,2.8776,71.239,9.035,205
cifar10_classification,0.37121114134788513,0.8780487804878049,0.0,0.0,0.0,0.5,0.10707911957168353,0.0,0.0,0.10707911957168353,0.5,0.8780487804878049,0.0,0.0,0.0,0.5133333333333334,0.11846064537755165,0.013945603728363662,0.00256407792249555,0.10707911957168353,0.5,0.7658536585365854,0.17142857142857143,0.24,0.19999999999999998,0.526,0.19091838388095886,0.08570959651397202,0.0018703322046966925,0.10707911957168353,0.5394444444444444,0.8780487804878049,0.0,0.0,0.0,0.5404444444444444,0.107164052144162,0.002184179727547725,0.0020992471550692615,0.10707911957168353,0.5,2.8795,71.193,9.029,205
code_line_description,0.3935060203075409,0.9166666666666666,0.0,0.0,0.0,0.5,0.07638888888888888,0.0,0.0,0.07638888888888888,0.5,0.9166666666666666,0.0,0.0,0.0,0.18181818181818177,0.08333333145534318,0.008333331455343165,0.00138888888888887,0.07638888888888888,0.5,0.25,0.1,1.0,0.18181818181818182,1.0,0.5502405831285221,0.5502405831285221,0.07638888888888888,0.07638888888888888,0.5909090909090909,0.9166666666666666,0.0,0.0,0.0,0.09090909090909094,0.10973034651081275,0.033972770753236986,0.0006313131313131215,0.07638888888888888,0.5,0.2087,57.503,9.584,12
color,0.2971286475658417,0.9317073170731708,0.0,0.0,0.0,0.5,0.06362879238548483,0.0,0.0,0.06362879238548483,0.5,0.9121951219512195,0.0,0.0,0.0,0.38855646970830215,0.12322626816136276,0.06034935104054319,0.000751875264665261,0.06362879238548483,0.4895287958115183,0.7170731707317073,0.06,0.21428571428571427,0.09375,0.3990276738967839,0.1939356062377117,0.1307930099530781,0.0004861961008512383,0.06362879238548483,0.4841062079281975,0.9317073170731708,0.0,0.0,0.0,0.6458489154824233,0.07468909265296762,0.01548747056428297,0.004427170296800176,0.06362879238548483,0.5,2.8088,72.984,9.257,205
common_morpheme,0.49277448654174805,0.9,0.0,0.0,0.0,0.5,0.09000000000000001,0.0,0.0,0.09000000000000001,0.5,0.9,0.0,0.0,0.0,0.5555555555555556,0.09895267638138665,0.018952676381386632,0.009999999999999995,0.09000000000000001,0.5,0.2,0.1111111111111111,1.0,0.19999999999999998,0.8888888888888888,0.6208232951008604,0.5708232951008604,0.04000000000000001,0.09000000000000001,0.5555555555555556,0.9,0.0,0.0,0.0,0.8888888888888888,0.15257336816803627,0.10257336816803626,0.04000000000000001,0.09000000000000001,0.5,0.1861,53.747,10.749,10
conceptual_combinations,0.7341655492782593,0.5238095238095238,0.0,0.0,0.0,0.5,0.24943310657596368,0.0,0.0,0.24943310657596368,0.5,0.5238095238095238,0.0,0.0,0.0,0.881818181818182,0.31297770945295433,0.22369199516724003,0.16014739229024938,0.24943310657596368,0.5,0.6666666666666666,0.6153846153846154,0.8,0.6956521739130435,0.8272727272727274,0.191635447031689,0.0664653790044781,0.12426303854875279,0.24943310657596368,0.6727272727272727,0.42857142857142855,0.0,0.0,0.0,0.4454545454545455,0.27002033260450514,0.03929470902173843,0.018707482993196967,0.24943310657596368,0.4090909090909091,0.3208,65.46,9.351,21
crash_blossom,0.5970278978347778,0.75,0.0,0.0,0.0,0.5,0.1875,0.0,0.0,0.1875,0.5,0.75,0.0,0.0,0.0,0.3333333333333333,0.20403099179412584,0.025459563222697296,0.008928571428571452,0.1875,0.5,0.625,0.0,0.0,0.0,0.5,0.2123869620253463,0.04988696202534626,0.024999999999999967,0.1875,0.4166666666666667,0.75,0.0,0.0,0.0,0.6666666666666667,0.20320718955847505,0.07820718583318464,0.06249999627470959,0.1875,0.5,0.1337,59.818,7.477,8
crass_ai,0.7082585692405701,0.8888888888888888,0.0,0.0,0.0,0.5,0.09876543209876543,0.0,0.0,0.09876543209876543,0.5,0.8888888888888888,0.0,0.0,0.0,0.25,0.11189644181910492,0.016658346581009648,0.003527336860670152,0.09876543209876543,0.5,0.3333333333333333,0.14285714285714285,1.0,0.25,0.625,0.37437962680416814,0.2910462934708348,0.015432098765432098,0.09876543209876543,0.625,0.2222222222222222,0.0,0.0,0.0,0.125,0.2577712066652336,0.1605489844430114,0.0015432098765432029,0.09876543209876543,0.125,0.1622,55.493,12.332,9
cryobiology_spanish,0.6341533064842224,0.7241379310344828,0.7241379310344828,1.0,0.8400000000000001,0.5,0.19976218787158145,0.0,0.0,0.19976218787158145,0.5,0.3103448275862069,0.6666666666666666,0.09523809523809523,0.16666666666666666,0.4821428571428571,0.6035713928502041,0.42725954877224315,0.02345034379362046,0.19976218787158145,0.4851190476190476,0.7241379310344828,0.7241379310344828,1.0,0.8400000000000001,0.5535714285714286,0.21553602832317945,0.05179333826469995,0.03601949781310196,0.19976218787158145,0.5,0.6896551724137931,0.7142857142857143,0.9523809523809523,0.8163265306122449,0.7023809523809523,0.22073270821395902,0.0647645384526856,0.04379401811030803,0.19976218787158145,0.47619047619047616,0.4125,70.305,9.697,29
cs_algorithms,0.6275055408477783,0.7108433734939759,0.0,0.0,0.0,0.5,0.20554507185367976,0.0,0.0,0.20554507185367976,0.5,0.7108433734939759,0.0,0.0,0.0,0.4638064971751412,0.2770100517668117,0.08344090337838617,0.011975923465254223,0.20554507185367976,0.5,0.5903614457831325,0.4019607843137255,0.8541666666666666,0.5466666666666666,0.7365819209039548,0.2897661136921437,0.1312241587210589,0.047003116882594925,0.20554507185367976,0.6686087570621468,0.5903614457831325,0.4019607843137255,0.8541666666666666,0.5466666666666666,0.5416666666666665,0.22229898231942413,0.04138484938262402,0.024630938916879647,0.20554507185367976,0.6686087570621468,2.2777,72.881,9.22,166
dark_humor_detection,0.7524039149284363,0.625,0.0,0.0,0.0,0.5,0.234375,0.0,0.0,0.234375,0.5,0.625,0.0,0.0,0.0,0.5833333333333334,0.37416215206112047,0.17326929491826334,0.03348214285714288,0.234375,0.5,0.375,0.375,1.0,0.5454545454545454,0.6333333333333333,0.4114072053124908,0.22093101483630032,0.04389880952380951,0.234375,0.5,0.375,0.35714285714285715,0.8333333333333334,0.5,0.48333333333333334,0.27893472203756764,0.05237222203756764,0.0078125,0.234375,0.4666666666666667,0.2448,65.358,8.17,16
date_understanding,0.7308300137519836,0.6081081081081081,0.6081081081081081,1.0,0.7563025210084033,0.5,0.23831263696128563,0.0,0.0,0.23831263696128563,0.5,0.3918918918918919,0.0,0.0,0.0,0.6544061302681993,0.5869238121098735,0.3999831889990377,0.05137201385044976,0.23831263696128563,0.5,0.6351351351351351,0.6607142857142857,0.8222222222222222,0.7326732673267325,0.6704980842911877,0.2283243955334354,0.030981609397545795,0.04096985082539603,0.23831263696128563,0.5835249042145594,0.47297297297297297,0.875,0.15555555555555556,0.26415094339622647,0.5486590038314176,0.26828554405233634,0.04643023009175895,0.016457323000708235,0.23831263696128563,0.560536398467433,1.0222,72.39,9.782,74
disambiguation_qa,0.6365862488746643,0.6730769230769231,0.0,0.0,0.0,0.5,0.22004437869822494,0.0,0.0,0.22004437869822494,0.5,0.6730769230769231,0.0,0.0,0.0,0.7596638655462185,0.3268097566128188,0.1901339324369946,0.08336855452240075,0.22004437869822494,0.5,0.3269230769230769,0.30434782608695654,0.8235294117647058,0.4444444444444444,0.4890756302521009,0.468891175910768,0.25382707334666543,0.004980276134122358,0.22004437869822494,0.4546218487394958,0.6730769230769231,0.0,0.0,0.0,0.4957983193277311,0.22215293812154188,0.023114476583080246,0.0210059171597633,0.22004437869822494,0.5,0.7437,69.924,9.413,52
discourse_marker_prediction,0.4640270173549652,0.8421052631578947,0.0,0.0,0.0,0.5,0.13296398891966757,0.0,0.0,0.13296398891966757,0.5,0.8421052631578947,0.0,0.0,0.0,0.40920781893004116,0.1578899998999729,0.0265809753098733,0.001654964329567965,0.13296398891966757,0.5,0.47368421052631576,0.0684931506849315,0.18518518518518517,0.1,0.3847736625514403,0.2991001087460259,0.168175046441883,0.0020389266155246832,0.13296398891966757,0.3564814814814815,0.8421052631578947,0.0,0.0,0.0,0.5717592592592593,0.14391631122111181,0.015039174013368573,0.0040868517119243275,0.13296398891966757,0.5,2.3763,71.959,9.258,171
dyck_languages,0.4996204376220703,0.765,0.0,0.0,0.0,0.5,0.179775,0.0,0.0,0.179775,0.5,0.765,0.0,0.0,0.0,0.41663190098734526,0.22327172537096257,0.047285686976547114,0.0037889616055845343,0.179775,0.5,0.72,0.41818181818181815,0.48936170212765956,0.45098039215686275,0.72090112640801,0.188017259496634,0.04428605648911521,0.0360437969924812,0.179775,0.640105687665137,0.765,0.5,0.06382978723404255,0.11320754716981131,0.7275761368377138,0.16201562023719995,0.010029044068270793,0.02778842383107083,0.179775,0.5221109720483939,2.7414,72.956,9.119,200
elementary_math_qa,0.4704909920692444,0.8284313725490197,0.0,0.0,0.0,0.5,0.14213283352556705,0.0,0.0,0.14213283352556705,0.5,0.8284313725490197,0.0,0.0,0.0,0.4816568047337278,0.16573772621670102,0.02578584362317282,0.00218095093203885,0.14213283352556705,0.5,0.7450980392156863,0.24242424242424243,0.22857142857142856,0.23529411764705885,0.5776838546069315,0.1908864294317294,0.055745387720927436,0.006991791814765086,0.14213283352556705,0.5403212172442942,0.8284313725490197,0.0,0.0,0.0,0.5629754860524091,0.14610795993860765,0.01608879334088556,0.012113666927844963,0.14213283352556705,0.5,2.8451,71.703,9.139,204
emoji_movie,0.5446287393569946,0.8,0.0,0.0,0.0,0.5,0.16000000000000006,0.0,0.0,0.16000000000000006,0.5,0.8,0.0,0.0,0.0,0.4375,0.17704734431199945,0.023714010978666072,0.006666666666666682,0.16000000000000006,0.5,0.5,0.0,0.0,0.0,0.09375,0.3308030464793173,0.17080304647931724,0.0,0.16000000000000006,0.3125,0.8,0.0,0.0,0.0,0.53125,0.17797036551463935,0.03074814329241715,0.01277777777777786,0.16000000000000006,0.5,0.3022,66.173,9.926,20
emojis_emotion_prediction,0.405048131942749,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00953352782857669,0.00953352782857669,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07476947119641172,0.07476947119641172,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.11093181545464237,0.11093181545464237,0.0,0.0,1.0,0.0643,31.104,15.552,2
empirical_judgments,0.7100276350975037,0.75,0.0,0.0,0.0,0.5,0.1875,0.0,0.0,0.1875,0.5,0.75,0.5,0.2,0.28571428571428575,0.5466666666666666,0.20895451171037963,0.04549297324884116,0.024038461538461536,0.1875,0.5666666666666667,0.25,0.25,1.0,0.4,0.4,0.6454621925371107,0.4689916043018165,0.011029411764705871,0.1875,0.5,0.4,0.18181818181818182,0.4,0.25000000000000006,0.3466666666666667,0.25843940777863883,0.08049823130805062,0.009558823529411786,0.1875,0.4,0.3046,65.668,9.85,20
english_proverbs,0.6367077231407166,0.7142857142857143,0.0,0.0,0.0,0.5,0.20408163265306126,0.0,0.0,0.20408163265306126,0.5,0.7142857142857143,0.0,0.0,0.0,0.5,0.21545349097940455,0.09640587193178549,0.08503401360544219,0.20408163265306126,0.5,0.5714285714285714,0.3333333333333333,0.5,0.4,0.8,0.21793559074738408,0.12269749550928884,0.10884353741496601,0.20408163265306126,0.55,0.7142857142857143,0.0,0.0,0.0,0.39999999999999997,0.22209442108773914,0.03161823061154859,0.013605442176870708,0.20408163265306126,0.5,0.1151,60.796,8.685,7
