,test_loss,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,count
_total,0.5855891704559326,0.6799037304452467,0.5736360769473352,0.46343949044585986,0.5126832018038331,0.7152350798169369,0.2010112674488953,0.0,0.030308677558683578,0.23131994500757888,0.6334353602272917,0.6437100805331852,0.5105967651979922,0.4664968152866242,0.4875515909998669,0.6295636229610518,0.2503600284795513,0.034464557067244356,0.015424473595271937,0.23131994500757888,0.6056677155816662,0.534388595760437,0.42879237015079263,0.8476433121019108,0.5694967476891475,0.6148179092203888,0.30502538096190224,0.08645361648644706,0.012748180532123704,0.23131994500757888,0.6016349738759045,0.6772192909377025,0.5631123919308357,0.4978343949044586,0.5284651791751184,0.7111386068013401,0.2015500911625813,0.0015230985522025065,0.03129295239720009,0.23131994500757888,0.6387107420872976,157.9515,68.394,8.553,10803
abstract_narrative_understanding,0.6511903405189514,0.6634146341463415,0.0,0.0,0.0,0.5,0.22329565734681733,0.0,0.0,0.22329565734681733,0.5,0.6634146341463415,0.0,0.0,0.0,0.5763000852514919,0.3273568665772037,0.12552339010654923,0.021462180876162862,0.22329565734681733,0.5,0.45365853658536587,0.3727810650887574,0.9130434782608695,0.5294117647058824,0.7008738277919863,0.3883044803042009,0.20252210064966072,0.037513277692277164,0.22329565734681733,0.5668158567774936,0.6682926829268293,0.6666666666666666,0.028985507246376812,0.05555555555555555,0.5027706734867861,0.2290332581014633,0.008660049085724597,0.002922448331078631,0.22329565734681733,0.5108162830349531,2.9617,69.216,8.779,205
anachronisms,0.7457062005996704,0.5434782608695652,0.0,0.0,0.0,0.5,0.24810964083175802,0.0,0.0,0.24810964083175802,0.5,0.5434782608695652,0.0,0.0,0.0,0.6171428571428571,0.4271471051389192,0.2152552831927494,0.03621781888558823,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.49142857142857144,0.4107323636400896,0.19391314167212617,0.031290418863794606,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.48,0.2755462625098069,0.03188684221995186,0.004450220541902972,0.24810964083175802,0.5,0.6956,66.129,8.625,46
analogical_similarity,0.7114617228507996,0.7230769230769231,0.0,0.0,0.0,0.5,0.20023668639053252,0.0,0.0,0.20023668639053252,0.5,0.7230769230769231,0.0,0.0,0.0,0.5768321513002365,0.2732990463362617,0.09503192883837497,0.021969568892645813,0.20023668639053252,0.5,0.47692307692307695,0.3333333333333333,0.8888888888888888,0.48484848484848486,0.6430260047281324,0.3413811596193233,0.1614534804608749,0.02030900723208412,0.20023668639053252,0.6040189125295508,0.7230769230769231,0.0,0.0,0.0,0.4722222222222222,0.23111119421330792,0.030874507822775205,-1.942890293094024e-16,0.20023668639053252,0.5,0.9981,65.126,9.017,65
analytic_entailment,0.9032822251319885,0.6428571428571429,0.0,0.0,0.0,0.5,0.2295918367346938,0.0,0.0,0.2295918367346938,0.5,0.6428571428571429,0.0,0.0,0.0,0.4,0.340333005012738,0.11176157644130938,0.0010204081632651796,0.2295918367346938,0.5,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.5333333333333334,0.6427097710105826,0.44543085944595673,0.032312925170067924,0.2295918367346938,0.5,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.5333333333333334,0.3478186620894966,0.15053975052487054,0.03231292517006776,0.2295918367346938,0.5,0.2429,57.638,8.234,14
arithmetic,0.9320957660675049,0.8232323232323232,0.0,0.0,0.0,0.5,0.14552086521783492,0.0,0.0,0.14552086521783492,0.5,0.8232323232323232,0.0,0.0,0.0,0.6652059596844873,0.1500293659520194,0.018900458178617935,0.014391957444433445,0.14552086521783492,0.5,0.7777777777777778,0.3333333333333333,0.2571428571428571,0.2903225806451613,0.6646801051709027,0.17800550720609212,0.04600867924309629,0.013524037254839083,0.14552086521783492,0.5733567046450482,0.17676767676767677,0.17676767676767677,1.0,0.30042918454935624,0.42138475021910604,0.3634090069387533,0.2190552347976741,0.0011670930767557486,0.14552086521783492,0.5,2.8456,69.581,8.785,198
authorship_verification,0.6946407556533813,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.24987086776859507,0.0,0.0,0.24987086776859507,0.5,0.48863636363636365,0.0,0.0,0.0,0.5,0.5113636363636364,0.2614927685950413,0.0,0.24987086776859507,0.5,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.48863636363636365,0.23876549586776857,0.0,0.24987086776859507,0.5,0.4772727272727273,0.49166666666666664,0.6555555555555556,0.5619047619047619,0.47500000000000003,0.25076299309729255,0.006298346632642671,0.005406221303945191,0.24987086776859507,0.4731266149870801,2.6232,67.093,8.387,176
bbq_lite_json,2.0313162803649902,0.7524752475247525,0.0,0.0,0.0,0.5,0.18625624938731497,0.0,0.0,0.18625624938731497,0.5,0.6237623762376238,0.26785714285714285,0.3,0.2830188679245283,0.5142105263157895,0.2366216466150098,0.05272090615486341,0.0023555089271685703,0.18625624938731497,0.5151315789473684,0.24257425742574257,0.24120603015075376,0.96,0.38554216867469876,0.5573684210526315,0.41093606625201395,0.23118910437287976,0.006509287508180778,0.18625624938731497,0.4832894736842105,0.24752475247524752,0.24752475247524752,1.0,0.3968253968253968,0.16565789473684212,0.6309510666798374,0.44499963571584544,0.0003048184233230833,0.18625624938731497,0.5,2.8744,70.275,9.045,202
causal_judgment,0.6815619468688965,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.5,0.24930747922437677,0.0,0.0,0.24930747922437677,0.5,0.47368421052631576,0.0,0.0,0.0,0.5277777777777778,0.28306564886162794,0.06569722780899631,0.03193905817174514,0.24930747922437677,0.5,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.6944444444444444,0.2438538436980876,0.06421243247772901,0.06966606800401817,0.24930747922437677,0.5,0.5263157894736842,0.5384615384615384,0.7,0.608695652173913,0.5513888888888889,0.2444469643582744,0.0282815508244397,0.033142065690542066,0.24930747922437677,0.5166666666666666,0.58,65.515,8.62,38
cause_and_effect,0.7761018872261047,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.5,0.24765868886576475,0.0,0.0,0.24765868886576475,0.5,0.41935483870967744,0.0,0.0,0.0,0.21428571428571427,0.5362551582331515,0.28859646936738675,0.0,0.24765868886576475,0.4642857142857143,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.773109243697479,0.3046221194834958,0.15799455350109115,0.10103112288336008,0.24765868886576475,0.5,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.32563025210084034,0.2848876937195374,0.06944990570110418,0.03222090084733151,0.24765868886576475,0.5,0.4669,66.39,8.566,31
