value,shots,truncation,metric
0.5277960300445557,0,left,loss
0.5554172992706299,1,left,loss
0.5582284927368164,2,left,loss
0.5734668374061584,3,left,loss
0.7755157290775664,0,left,roc_auc
0.7563480863923342,1,left,roc_auc
0.7580109191844284,2,left,roc_auc
0.7478302339302029,3,left,roc_auc
0.4868362641021386,0,left,roc_auc-absolute-self
0.6016896542560259,1,left,roc_auc-absolute-self
0.6085238328909559,2,left,roc_auc-absolute-self
0.6237098954466961,3,left,roc_auc-absolute-self
0.6147483069741785,0,left,roc_auc-normalised-self
0.6243418639878817,1,left,roc_auc-normalised-self
0.6273749956960213,2,left,roc_auc-normalised-self
0.6321447015565951,3,left,roc_auc-normalised-self
0.7162963222554819,0,left,roc_auc-task-static
0.7326812906458924,1,left,roc_auc-task-static
0.741358081756834,2,left,roc_auc-task-static
0.7437942701514118,3,left,roc_auc-task-static
0.5267612934112549,0,right,loss
0.5606219172477722,1,right,loss
0.5671710968017578,2,right,loss
0.5761862993240356,3,right,loss
0.7771986299445294,0,right,roc_auc
0.7493342710599348,1,right,roc_auc
0.7512080900784872,2,right,roc_auc
0.7425186976269995,3,right,roc_auc
0.4868362641021386,0,right,roc_auc-absolute-self
0.6016896542560259,1,right,roc_auc-absolute-self
0.6085238328909559,2,right,roc_auc-absolute-self
0.6237098954466961,3,right,roc_auc-absolute-self
0.6147483069741785,0,right,roc_auc-normalised-self
0.6243418639878817,1,right,roc_auc-normalised-self
0.6273749956960213,2,right,roc_auc-normalised-self
0.6321447015565951,3,right,roc_auc-normalised-self
0.7162963222554819,0,right,roc_auc-task-static
0.7326812906458924,1,right,roc_auc-task-static
0.741358081756834,2,right,roc_auc-task-static
0.7437942701514118,3,right,roc_auc-task-static
