,test_loss,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,count
abstract_narrative_understanding,0.6695889830589294,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.6666666666666666,0.0,0.0,0.0,0.5227487723703786,0.23824557374494293,0.017667255864749487,0.0016439043420288235,0.22222222222222227,0.5,14.2464,71.807,8.985,1023
arithmetic,0.47940322756767273,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.8195564516129032,0.0,0.0,0.0,0.4921114294941832,0.15047397313214905,0.004118970267988908,0.0015286713684101172,0.14788367423257026,0.5,13.5904,72.993,9.124,992
cifar10_classification,0.33279097080230713,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.8984375,0.0,0.0,0.0,0.4772888795986623,0.09215830732175738,0.0027682451828059257,0.0018574964547985462,0.09124755859375,0.5,14.4717,70.759,8.845,1024
code_line_description,0.5389047861099243,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.7333333333333333,0.0,0.0,0.0,0.7301136363636364,0.17915827544637722,0.03264216862396663,0.04903944873314503,0.19555555555555562,0.5,0.8632,69.508,9.268,60
cs_algorithms,0.6306052803993225,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.703125,0.0,0.0,0.0,0.46120627011315274,0.21984986306384302,0.02423851534227106,0.01312888665342804,0.208740234375,0.5,11.4751,72.505,9.063,832
emojis_emotion_prediction,0.5876604318618774,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.75,0.0,0.0,0.0,0.6666666666666667,0.19553870793587202,0.04553870992269349,0.03750000198682146,0.1875,0.5,0.2032,59.067,9.844,12
entailed_polarity_hindi,0.7117494344711304,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.35507246376811596,0.0,0.0,0.0,0.4716808071543224,0.2592896113788868,0.03487225656422391,0.004578654427093015,0.2289960092417559,0.5,1.9529,70.665,9.217,138
goal_step_wikihow,0.6627280116081238,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.6265884652981427,0.0,0.0,0.0,0.5419828311457066,0.23487941133047796,0.0035263874368543224,0.0026223365598372905,0.23397536045346093,0.5,14.1367,72.365,9.054,1023
hhh_alignment,0.6900647878646851,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.5656108597285068,0.0,0.0,0.0,0.5015,0.24839745291665002,0.008802874599289634,0.006100636768325701,0.2456952150856861,0.5,3.0746,71.878,9.107,221
human_organs_senses,0.7724647521972656,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.5,0.0,0.0,0.0,0.47165532879818595,0.2863039663748972,0.050192855263785974,0.013888888888888784,0.25,0.5,0.6168,68.091,9.727,42
intersect_geometry,0.3506905734539032,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.8803921568627451,0.0,0.0,0.0,0.7986691737558873,0.10059017674154865,0.01143005395697444,0.016141684212734514,0.10530180699730872,0.5,14.105,72.315,9.075,1020
kannada,0.5445883274078369,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.7689873417721519,0.0,0.0,0.0,0.5245504256158746,0.1784552783132748,0.004885891391499114,0.004076423044575839,0.17764580996635151,0.5,4.4281,71.363,9.033,316
logical_sequence,0.7319836616516113,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.6153846153846154,0.0,0.0,0.0,0.4666666666666667,0.26219882933205485,0.032968060101285585,0.007455621301775045,0.2366863905325443,0.5,0.5771,67.583,8.664,39
misconceptions,0.6986520290374756,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.4840182648401826,0.0,0.0,0.0,0.5362330940056771,0.2527448014418334,0.008797269946590303,0.005797052646038303,0.24974458414128142,0.5,3.0411,72.013,9.207,219
movie_dialog_same_or_different,0.6954630613327026,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.5087890625,0.0,0.0,0.0,0.5017018808454455,0.2511321086116791,0.001956423759512993,0.0007470675282049699,0.2499227523803711,0.5,14.208,72.072,9.009,1024
question_selection,0.7000472545623779,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.5830078125,0.0,0.0,0.0,0.5443297674947729,0.2523935967576668,0.012851371199689432,0.0035674775059874597,0.24310970306396484,0.5,14.299,71.613,8.952,1024
real_or_fake_text,0.4431585967540741,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.8524173027989822,0.0,0.0,0.0,0.5003216675244467,0.134337445784851,0.009664144616126802,0.0011287435191663087,0.1258020446878905,0.5,11.1274,70.637,8.897,786
reasoning_about_colored_objects,0.6807152032852173,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.587890625,0.0,0.0,0.0,0.645459054337044,0.24381152979900028,0.021557239660319888,0.02002094789842898,0.24227523803710938,0.5,14.2553,71.833,8.979,1024
similarities_abstraction,0.7093712091445923,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.3684210526315789,0.0,0.0,0.0,0.5409226190476191,0.2581030326583605,0.03316568929996416,0.007749637251021929,0.23268698060941825,0.5,1.0729,70.835,9.32,76
simple_ethical_questions,0.6034610271453857,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.7913043478260869,0.0,0.0,0.0,0.34935897435897434,0.20577062811163216,0.04101594123488708,0.0003870900608730632,0.16514177693761814,0.5,1.631,70.509,9.197,115
snarks,0.6912001371383667,0.7059992357661444,0.5770804911323328,0.10681818181818181,0.18026848497762624,0.6896287394492874,0.1913633459449412,0.0,0.019684345080304644,0.21104769102524584,0.536422789539228,0.6976690867405426,0.5666666666666667,0.004292929292929293,0.008521303258145364,0.422398505603985,0.28404143877688387,0.07347980311877517,0.00048605536713713926,0.21104769102524584,0.5014341358793414,0.5576614444019871,0.384479271991911,0.7681818181818182,0.5124663072776281,0.6343891794658918,0.2974290815021055,0.09922005860309605,0.01283866812623638,0.21104769102524584,0.617241594022416,0.5359116022099447,0.0,0.0,0.0,0.46256750122729506,0.24909499165342142,0.00226946586299423,0.0018848310362875043,0.2487103568267147,0.5,2.5344,71.416,9.075,181
